DATE,UNRATE
2014-05-16,6.203225806451613
2014-05-17,6.196774193548387
2014-05-18,6.190322580645161
2014-05-19,6.183870967741935
2014-05-20,6.177419354838709
2014-05-21,6.170967741935484
2014-05-22,6.164516129032258
2014-05-23,6.158064516129032
2014-05-24,6.151612903225806
2014-05-25,6.14516129032258
2014-05-26,6.138709677419355
2014-05-27,6.132258064516129
2014-05-28,6.1258064516129025
2014-05-29,6.119354838709677
2014-05-30,6.112903225806451
2014-05-31,6.106451612903226
2014-06-01,6.1
2014-06-02,6.103333333333333
2014-06-03,6.1066666666666665
2014-06-04,6.109999999999999
2014-06-05,6.113333333333333
2014-06-06,6.116666666666666
2014-06-07,6.12
2014-06-08,6.123333333333333
2014-06-09,6.126666666666666
2014-06-10,6.13
2014-06-11,6.133333333333333
2014-06-12,6.136666666666667
2014-06-13,6.14
2014-06-14,6.1433333333333335
2014-06-15,6.1466666666666665
2014-06-16,6.15
2014-06-17,6.153333333333333
2014-06-18,6.156666666666666
2014-06-19,6.16
2014-06-20,6.163333333333333
2014-06-21,6.166666666666667
2014-06-22,6.17
2014-06-23,6.173333333333334
2014-06-24,6.176666666666667
2014-06-25,6.18
2014-06-26,6.183333333333334
2014-06-27,6.1866666666666665
2014-06-28,6.19
2014-06-29,6.193333333333333
2014-06-30,6.196666666666667
2014-07-01,6.2
2014-07-02,6.1967741935483875
2014-07-03,6.193548387096774
2014-07-04,6.190322580645161
2014-07-05,6.187096774193549
2014-07-06,6.183870967741935
2014-07-07,6.180645161290323
2014-07-08,6.17741935483871
2014-07-09,6.174193548387096
2014-07-10,6.170967741935484
2014-07-11,6.167741935483871
2014-07-12,6.164516129032258
2014-07-13,6.161290322580645
2014-07-14,6.158064516129032
2014-07-15,6.154838709677419
2014-07-16,6.151612903225806
2014-07-17,6.148387096774194
2014-07-18,6.145161290322581
2014-07-19,6.141935483870967
2014-07-20,6.138709677419355
2014-07-21,6.135483870967742
2014-07-22,6.132258064516129
2014-07-23,6.129032258064516
2014-07-24,6.125806451612903
2014-07-25,6.12258064516129
2014-07-26,6.119354838709677
2014-07-27,6.116129032258065
2014-07-28,6.112903225806451
2014-07-29,6.109677419354838
2014-07-30,6.106451612903226
2014-07-31,6.103225806451612
2014-08-01,6.1
2014-08-02,6.0935483870967735
2014-08-03,6.087096774193548
2014-08-04,6.080645161290322
2014-08-05,6.074193548387097
2014-08-06,6.067741935483871
