Date,MSPUS
2015-01-27,289171.1111111111
2015-01-28,289170.0
2015-01-29,289168.8888888889
2015-01-30,289167.77777777775
2015-01-31,289166.6666666667
2015-02-01,289165.55555555556
2015-02-02,289164.44444444444
2015-02-03,289163.3333333333
2015-02-04,289162.22222222225
2015-02-05,289161.1111111111
2015-02-06,289160.0
2015-02-07,289158.8888888889
2015-02-08,289157.77777777775
2015-02-09,289156.6666666667
2015-02-10,289155.55555555556
2015-02-11,289154.44444444444
2015-02-12,289153.3333333333
2015-02-13,289152.22222222225
2015-02-14,289151.1111111111
2015-02-15,289150.0
2015-02-16,289148.8888888889
2015-02-17,289147.77777777775
2015-02-18,289146.6666666667
2015-02-19,289145.55555555556
2015-02-20,289144.44444444444
2015-02-21,289143.3333333333
2015-02-22,289142.22222222225
2015-02-23,289141.1111111111
2015-02-24,289140.0
2015-02-25,289138.8888888889
2015-02-26,289137.77777777775
2015-02-27,289136.6666666667
2015-02-28,289135.55555555556
2015-03-01,289134.44444444444
2015-03-02,289133.3333333333
2015-03-03,289132.22222222225
2015-03-04,289131.1111111111
2015-03-05,289130.0
2015-03-06,289128.8888888889
2015-03-07,289127.77777777775
2015-03-08,289126.6666666667
2015-03-09,289125.55555555556
2015-03-10,289124.44444444444
2015-03-11,289123.3333333333
2015-03-12,289122.22222222225
2015-03-13,289121.1111111111
2015-03-14,289120.0
2015-03-15,289118.8888888889
2015-03-16,289117.77777777775
2015-03-17,289116.6666666667
2015-03-18,289115.55555555556
2015-03-19,289114.44444444444
2015-03-20,289113.3333333333
2015-03-21,289112.22222222225
2015-03-22,289111.1111111111
2015-03-23,289110.0
2015-03-24,289108.8888888889
2015-03-25,289107.77777777775
2015-03-26,289106.6666666667
2015-03-27,289105.55555555556
2015-03-28,289104.44444444444
2015-03-29,289103.3333333333
2015-03-30,289102.22222222225
2015-03-31,289101.1111111111
2015-04-01,289100.0
2015-04-02,289173.62637362635
2015-04-03,289247.25274725276
2015-04-04,289320.8791208791
2015-04-05,289394.5054945055
2015-04-06,289468.13186813187
2015-04-07,289541.7582417582
2015-04-08,289615.3846153846
2015-04-09,289689.010989011
2015-04-10,289762.6373626374
2015-04-11,289836.26373626373
2015-04-12,289909.8901098901
2015-04-13,289983.5164835165
2015-04-14,290057.14285714284
2015-04-15,290130.76923076925
2015-04-16,290204.3956043956
2015-04-17,290278.021978022
2015-04-18,290351.64835164836
2015-04-19,290425.2747252747
2015-04-20,290498.9010989011
2015-04-21,290572.52747252746
2015-04-22,290646.1538461539
2015-04-23,290719.7802197802
2015-04-24,290793.4065934066
2015-04-25,290867.032967033
2015-04-26,290940.65934065933
2015-04-27,291014.28571428574
2015-04-28,291087.9120879121
2015-04-29,291161.53846153844
2015-04-30,291235.16483516485
2015-05-01,291308.7912087912
2015-05-02,291382.4175824176
2015-05-03,291456.04395604396
2015-05-04,291529.6703296703
2015-05-05,291603.2967032967
2015-05-06,291676.92307692306
2015-05-07,291750.5494505495
2015-05-08,291824.1758241758
2015-05-09,291897.8021978022
2015-05-10,291971.4285714286
2015-05-11,292045.05494505493
2015-05-12,292118.68131868134
2015-05-13,292192.3076923077
2015-05-14,292265.93406593404
2015-05-15,292339.56043956045
2015-05-16,292413.1868131868
2015-05-17,292486.8131868132
2015-05-18,292560.43956043955
2015-05-19,292634.06593406596
2015-05-20,292707.6923076923
2015-05-21,292781.31868131866
2015-05-22,292854.94505494507
2015-05-23,292928.5714285714
2015-05-24,293002.1978021978
2015-05-25,293075.8241758242
2015-05-26,293149.4505494505
2015-05-27,293223.07692307694
2015-05-28,293296.7032967033
2015-05-29,293370.3296703297
2015-05-30,293443.95604395604
2015-05-31,293517.5824175824
2015-06-01,293591.2087912088
2015-06-02,293664.83516483515
2015-06-03,293738.46153846156
2015-06-04,293812.0879120879
2015-06-05,293885.71428571426
2015-06-06,293959.34065934067
2015-06-07,294032.967032967
2015-06-08,294106.5934065934
2015-06-09,294180.2197802198
2015-06-10,294253.8461538461
2015-06-11,294327.47252747254
2015-06-12,294401.0989010989
2015-06-13,294474.7252747253
2015-06-14,294548.35164835164
2015-06-15,294621.978021978
2015-06-16,294695.6043956044
2015-06-17,294769.23076923075
2015-06-18,294842.85714285716
2015-06-19,294916.4835164835
2015-06-20,294990.1098901099
2015-06-21,295063.73626373627
2015-06-22,295137.3626373626
2015-06-23,295210.989010989
2015-06-24,295284.6153846154
2015-06-25,295358.2417582418
2015-06-26,295431.86813186813
2015-06-27,295505.4945054945
2015-06-28,295579.1208791209
2015-06-29,295652.74725274724
2015-06-30,295726.37362637365
2015-07-01,295800.0
2015-07-02,295872.82608695654
2015-07-03,295945.652173913
2015-07-04,296018.47826086957
2015-07-05,296091.3043478261
2015-07-06,296164.1304347826
2015-07-07,296236.95652173914
2015-07-08,296309.7826086957
2015-07-09,296382.60869565216
2015-07-10,296455.4347826087
2015-07-11,296528.26086956525
2015-07-12,296601.0869565217
2015-07-13,296673.9130434783
2015-07-14,296746.73913043475
2015-07-15,296819.5652173913
2015-07-16,296892.39130434784
2015-07-17,296965.2173913043
2015-07-18,297038.04347826086
2015-07-19,297110.8695652174
2015-07-20,297183.6956521739
2015-07-21,297256.52173913043
2015-07-22,297329.347826087
2015-07-23,297402.17391304346
2015-07-24,297475.0
2015-07-25,297547.82608695654
2015-07-26,297620.652173913
2015-07-27,297693.47826086957
2015-07-28,297766.3043478261
2015-07-29,297839.1304347826
2015-07-30,297911.95652173914
2015-07-31,297984.7826086957
2015-08-01,298057.60869565216
2015-08-02,298130.4347826087
2015-08-03,298203.26086956525
2015-08-04,298276.0869565217
2015-08-05,298348.9130434783
2015-08-06,298421.73913043475
2015-08-07,298494.5652173913
2015-08-08,298567.39130434784
2015-08-09,298640.2173913043
2015-08-10,298713.04347826086
2015-08-11,298785.8695652174
2015-08-12,298858.6956521739
2015-08-13,298931.52173913043
2015-08-14,299004.347826087
2015-08-15,299077.17391304346
2015-08-16,299150.0
2015-08-17,299222.82608695654
2015-08-18,299295.652173913
2015-08-19,299368.47826086957
2015-08-20,299441.3043478261
2015-08-21,299514.1304347826
2015-08-22,299586.95652173914
2015-08-23,299659.7826086957
2015-08-24,299732.60869565216
2015-08-25,299805.4347826087
2015-08-26,299878.26086956525
2015-08-27,299951.0869565217
