Date,Technical Analysis
2014-06-07,15.66
2014-06-08,54.0
2014-06-09,47.52
2014-06-10,35.64
2014-06-11,17.82
2014-06-12,24.3
2014-06-13,18.900000000000002
2014-06-14,15.66
2014-06-15,16.200000000000003
2014-06-16,18.36
2014-06-17,24.3
2014-06-18,36.18
2014-06-19,24.3
2014-06-20,37.800000000000004
2014-06-21,30.78
2014-06-22,46.980000000000004
2014-06-23,24.3
2014-06-24,48.06
2014-06-25,48.06
2014-06-26,30.240000000000002
2014-06-27,18.900000000000002
2014-06-28,15.66
2014-06-29,23.220000000000002
2014-06-30,18.36
2014-07-01,48.0
2014-07-02,24.48
2014-07-03,10.08
2014-07-04,12.48
2014-07-05,20.16
2014-07-06,0.0
2014-07-07,14.399999999999999
2014-07-08,18.72
2014-07-09,19.2
2014-07-10,24.48
2014-07-11,10.08
2014-07-12,12.0
2014-07-13,24.0
2014-07-14,28.799999999999997
2014-07-15,28.32
2014-07-16,14.399999999999999
2014-07-17,0.0
2014-07-18,30.24
2014-07-19,18.24
2014-07-20,0.0
2014-07-21,9.6
2014-07-22,24.0
2014-07-23,34.08
2014-07-24,14.399999999999999
2014-07-25,20.16
2014-07-26,36.48
2014-07-27,42.72
2014-07-28,33.6
2014-07-29,19.2
2014-07-30,38.4
2014-07-31,19.2
2014-08-01,10.08
2014-08-02,30.24
2014-08-03,18.24
2014-08-04,38.879999999999995
2014-08-05,9.6
2014-08-06,29.279999999999998
2014-08-07,22.56
2014-08-08,20.64
2014-08-09,0.0
2014-08-10,36.96
2014-08-11,28.799999999999997
2014-08-12,9.12
2014-08-13,48.0
2014-08-14,0.0
2014-08-15,20.16
2014-08-16,30.24
2014-08-17,12.0
2014-08-18,33.6
2014-08-19,24.0
2014-08-20,43.199999999999996
2014-08-21,19.2
2014-08-22,39.36
2014-08-23,12.0
2014-08-24,24.0
2014-08-25,33.6
2014-08-26,42.239999999999995
2014-08-27,19.2
2014-08-28,9.6
2014-08-29,24.48
2014-08-30,12.0
2014-08-31,0.0
2014-09-01,33.0
2014-09-02,24.200000000000003
2014-09-03,24.200000000000003
2014-09-04,24.200000000000003
2014-09-05,7.15
2014-09-06,8.8
2014-09-07,0.0
2014-09-08,10.450000000000001
2014-09-09,23.1
2014-09-10,55.00000000000001
2014-09-11,34.650000000000006
2014-09-12,10.450000000000001
2014-09-13,22.0
2014-09-14,26.400000000000002
2014-09-15,13.750000000000002
2014-09-16,24.200000000000003
2014-09-17,17.05
2014-09-18,28.05
2014-09-19,14.3
2014-09-20,26.950000000000003
2014-09-21,34.650000000000006
2014-09-22,20.35
2014-09-23,23.650000000000002
2014-09-24,7.15
2014-09-25,10.450000000000001
2014-09-26,14.850000000000001
2014-09-27,9.350000000000001
2014-09-28,17.6
2014-09-29,10.450000000000001
2014-09-30,13.750000000000002
2014-10-01,15.389999999999999
2014-10-02,26.22
2014-10-03,32.489999999999995
2014-10-04,20.52
2014-10-05,13.68
2014-10-06,47.309999999999995
2014-10-07,36.48
2014-10-08,20.52
2014-10-09,26.22
2014-10-10,43.88999999999999
2014-10-11,13.68
2014-10-12,26.22
2014-10-13,21.09
2014-10-14,40.47
2014-10-15,45.599999999999994
2014-10-16,20.52
2014-10-17,32.489999999999995
2014-10-18,41.04
2014-10-19,13.68
2014-10-20,20.52
2014-10-21,25.08
2014-10-22,25.65
2014-10-23,56.99999999999999
2014-10-24,54.15
2014-10-25,27.36
2014-10-26,19.95
2014-10-27,10.26
2014-10-28,10.26
2014-10-29,15.389999999999999
2014-10-30,31.349999999999998
2014-10-31,27.929999999999996
2014-11-01,18.150000000000002
2014-11-02,17.05
2014-11-03,18.150000000000002
2014-11-04,22.55
2014-11-05,25.85
2014-11-06,31.35
2014-11-07,28.05
2014-11-08,28.6
2014-11-09,17.05
2014-11-10,13.200000000000001
2014-11-11,13.750000000000002
2014-11-12,30.800000000000004
2014-11-13,22.0
2014-11-14,27.500000000000004
2014-11-15,22.55
2014-11-16,11.0
2014-11-17,8.8
2014-11-18,23.650000000000002
2014-11-19,13.750000000000002
2014-11-20,13.200000000000001
2014-11-21,55.00000000000001
2014-11-22,16.5
2014-11-23,0.0
2014-11-24,26.400000000000002
2014-11-25,31.900000000000002
2014-11-26,9.9
2014-11-27,11.55
2014-11-28,27.500000000000004
2014-11-29,22.55
2014-11-30,16.5
2014-12-01,22.36
2014-12-02,21.84
2014-12-03,13.52
2014-12-04,31.720000000000002
2014-12-05,14.040000000000001
2014-12-06,22.880000000000003
2014-12-07,0.0
2014-12-08,31.720000000000002
2014-12-09,18.2
2014-12-10,22.880000000000003
2014-12-11,47.32
2014-12-12,14.56
2014-12-13,11.96
2014-12-14,48.36
2014-12-15,52.0
2014-12-16,28.6
2014-12-17,24.44
2014-12-18,34.84
2014-12-19,15.600000000000001
2014-12-20,37.96
2014-12-21,31.720000000000002
2014-12-22,10.4
2014-12-23,27.04
2014-12-24,30.16
2014-12-25,28.080000000000002
2014-12-26,23.92
2014-12-27,12.48
2014-12-28,24.44
2014-12-29,20.8
2014-12-30,26.0
2014-12-31,43.160000000000004
2015-01-01,14.31
2015-01-02,23.85
2015-01-03,13.25
2015-01-04,25.44
2015-01-05,43.99
2015-01-06,42.93
2015-01-07,31.8
2015-01-08,42.400000000000006
2015-01-09,16.43
2015-01-10,13.25
2015-01-11,25.970000000000002
2015-01-12,36.57
2015-01-13,25.970000000000002
2015-01-14,42.400000000000006
2015-01-15,53.0
2015-01-16,49.29
2015-01-17,26.5
2015-01-18,13.25
2015-01-19,16.96
2015-01-20,26.5
2015-01-21,20.67
2015-01-22,31.8
2015-01-23,21.73
2015-01-24,25.970000000000002
2015-01-25,19.61
2015-01-26,25.970000000000002
2015-01-27,25.970000000000002
2015-01-28,21.200000000000003
2015-01-29,20.67
2015-01-30,31.8
2015-01-31,0.0
2015-02-01,22.96
2015-02-02,18.48
2015-02-03,23.520000000000003
2015-02-04,28.000000000000004
2015-02-05,14.000000000000002
2015-02-06,53.2
2015-02-07,11.760000000000002
2015-02-08,17.92
2015-02-09,36.400000000000006
2015-02-10,18.48
2015-02-11,56.00000000000001
2015-02-12,22.96
2015-02-13,29.680000000000003
2015-02-14,24.080000000000002
2015-02-15,12.32
2015-02-16,20.160000000000004
2015-02-17,14.000000000000002
2015-02-18,33.040000000000006
2015-02-19,28.560000000000002
2015-02-20,19.6
2015-02-21,29.120000000000005
2015-02-22,11.760000000000002
2015-02-23,36.96
2015-02-24,28.000000000000004
2015-02-25,47.6
2015-02-26,19.040000000000003
2015-02-27,24.080000000000002
2015-02-28,11.760000000000002
2015-03-01,48.45
2015-03-02,39.27
2015-03-03,19.38
2015-03-04,29.580000000000002
2015-03-05,39.27
2015-03-06,20.4
2015-03-07,24.990000000000002
2015-03-08,24.990000000000002
2015-03-09,0.0
2015-03-10,19.89
2015-03-11,30.09
2015-03-12,19.89
2015-03-13,20.91
2015-03-14,37.74
2015-03-15,0.0
2015-03-16,51.0
2015-03-17,20.4
2015-03-18,20.4
2015-03-19,39.78
2015-03-20,30.6
2015-03-21,25.5
2015-03-22,0.0
2015-03-23,40.29
2015-03-24,49.980000000000004
2015-03-25,16.830000000000002
2015-03-26,23.97
2015-03-27,20.91
2015-03-28,41.82
2015-03-29,13.77
2015-03-30,10.2
2015-03-31,30.6
2015-04-01,19.240000000000002
2015-04-02,29.64
2015-04-03,36.92
2015-04-04,36.92
2015-04-05,13.0
2015-04-06,9.88
2015-04-07,18.72
