Date,ASPUS
2013-10-31,333421.73913043475
2013-11-01,333389.1304347826
2013-11-02,333356.52173913043
2013-11-03,333323.9130434783
2013-11-04,333291.3043478261
2013-11-05,333258.6956521739
2013-11-06,333226.0869565217
2013-11-07,333193.47826086957
2013-11-08,333160.8695652174
2013-11-09,333128.26086956525
2013-11-10,333095.652173913
2013-11-11,333063.04347826086
2013-11-12,333030.4347826087
2013-11-13,332997.82608695654
2013-11-14,332965.2173913043
2013-11-15,332932.60869565216
2013-11-16,332900.0
2013-11-17,332867.39130434784
2013-11-18,332834.7826086957
2013-11-19,332802.17391304346
2013-11-20,332769.5652173913
2013-11-21,332736.95652173914
2013-11-22,332704.347826087
2013-11-23,332671.73913043475
2013-11-24,332639.1304347826
2013-11-25,332606.52173913043
2013-11-26,332573.9130434783
2013-11-27,332541.3043478261
2013-11-28,332508.6956521739
2013-11-29,332476.0869565217
2013-11-30,332443.47826086957
2013-12-01,332410.8695652174
2013-12-02,332378.26086956525
2013-12-03,332345.652173913
2013-12-04,332313.04347826086
2013-12-05,332280.4347826087
2013-12-06,332247.82608695654
2013-12-07,332215.2173913043
2013-12-08,332182.60869565216
2013-12-09,332150.0
2013-12-10,332117.39130434784
2013-12-11,332084.7826086957
2013-12-12,332052.17391304346
2013-12-13,332019.5652173913
2013-12-14,331986.95652173914
2013-12-15,331954.347826087
2013-12-16,331921.73913043475
2013-12-17,331889.1304347826
2013-12-18,331856.52173913043
2013-12-19,331823.9130434783
2013-12-20,331791.3043478261
2013-12-21,331758.6956521739
2013-12-22,331726.0869565217
2013-12-23,331693.47826086957
2013-12-24,331660.8695652174
2013-12-25,331628.26086956525
2013-12-26,331595.652173913
2013-12-27,331563.04347826086
2013-12-28,331530.4347826087
2013-12-29,331497.82608695654
2013-12-30,331465.2173913043
2013-12-31,331432.60869565216
2014-01-01,331400.0
2014-01-02,331502.22222222225
2014-01-03,331604.44444444444
2014-01-04,331706.6666666667
2014-01-05,331808.8888888889
2014-01-06,331911.1111111111
2014-01-07,332013.3333333333
2014-01-08,332115.55555555556
2014-01-09,332217.77777777775
2014-01-10,332320.0
2014-01-11,332422.22222222225
2014-01-12,332524.44444444444
2014-01-13,332626.6666666667
2014-01-14,332728.8888888889
2014-01-15,332831.1111111111
2014-01-16,332933.3333333333
2014-01-17,333035.55555555556
2014-01-18,333137.77777777775
2014-01-19,333240.0
2014-01-20,333342.22222222225
2014-01-21,333444.44444444444
2014-01-22,333546.6666666667
2014-01-23,333648.8888888889
2014-01-24,333751.1111111111
2014-01-25,333853.3333333333
2014-01-26,333955.55555555556
2014-01-27,334057.77777777775
2014-01-28,334160.0
2014-01-29,334262.22222222225
2014-01-30,334364.44444444444
2014-01-31,334466.6666666667
2014-02-01,334568.8888888889
2014-02-02,334671.1111111111
2014-02-03,334773.3333333333
2014-02-04,334875.55555555556
2014-02-05,334977.77777777775
2014-02-06,335080.0
2014-02-07,335182.22222222225
2014-02-08,335284.44444444444
2014-02-09,335386.6666666667
2014-02-10,335488.8888888889
2014-02-11,335591.1111111111
2014-02-12,335693.3333333333
2014-02-13,335795.55555555556
2014-02-14,335897.77777777775
2014-02-15,336000.0
2014-02-16,336102.22222222225
2014-02-17,336204.44444444444
2014-02-18,336306.6666666667
2014-02-19,336408.8888888889
2014-02-20,336511.1111111111
2014-02-21,336613.3333333333
2014-02-22,336715.55555555556
2014-02-23,336817.77777777775
2014-02-24,336920.0
2014-02-25,337022.22222222225
2014-02-26,337124.44444444444
2014-02-27,337226.6666666667
2014-02-28,337328.8888888889
2014-03-01,337431.1111111111
2014-03-02,337533.3333333333
