Date,Hotel
2014-07-14,89.28
2014-07-15,92.07000000000001
2014-07-16,92.07000000000001
2014-07-17,89.28
2014-07-18,91.14
2014-07-19,92.07000000000001
2014-07-20,90.21000000000001
2014-07-21,93.0
2014-07-22,92.07000000000001
2014-07-23,92.07000000000001
2014-07-24,89.28
2014-07-25,90.21000000000001
2014-07-26,87.42
2014-07-27,89.28
2014-07-28,89.28
2014-07-29,93.0
2014-07-30,88.35000000000001
2014-07-31,85.56
2014-08-01,81.17999999999999
2014-08-02,78.72
2014-08-03,79.53999999999999
2014-08-04,79.53999999999999
2014-08-05,81.17999999999999
2014-08-06,80.36
2014-08-07,77.89999999999999
2014-08-08,82.0
2014-08-09,79.53999999999999
2014-08-10,73.8
2014-08-11,75.44
2014-08-12,76.25999999999999
2014-08-13,75.44
2014-08-14,77.08
2014-08-15,73.8
2014-08-16,72.97999999999999
2014-08-17,72.16
2014-08-18,71.33999999999999
2014-08-19,73.8
2014-08-20,71.33999999999999
2014-08-21,68.06
2014-08-22,69.7
2014-08-23,67.24
2014-08-24,65.6
2014-08-25,65.6
2014-08-26,68.88
2014-08-27,68.06
2014-08-28,68.06
2014-08-29,69.7
2014-08-30,72.16
2014-08-31,67.24
2014-09-01,65.55
2014-09-02,64.86
2014-09-03,69.0
2014-09-04,66.92999999999999
2014-09-05,67.61999999999999
2014-09-06,64.86
2014-09-07,63.48
2014-09-08,66.24
2014-09-09,65.55
2014-09-10,66.24
2014-09-11,67.61999999999999
2014-09-12,68.30999999999999
2014-09-13,66.92999999999999
2014-09-14,60.72
2014-09-15,69.0
2014-09-16,65.55
2014-09-17,67.61999999999999
2014-09-18,66.92999999999999
2014-09-19,66.92999999999999
2014-09-20,65.55
2014-09-21,59.339999999999996
2014-09-22,66.24
2014-09-23,64.86
2014-09-24,64.86
2014-09-25,64.17
2014-09-26,66.24
2014-09-27,64.17
2014-09-28,62.099999999999994
2014-09-29,66.24
2014-09-30,64.86
2014-10-01,62.31
2014-10-02,62.980000000000004
2014-10-03,64.99000000000001
2014-10-04,63.650000000000006
2014-10-05,61.64
2014-10-06,64.99000000000001
2014-10-07,65.66000000000001
2014-10-08,65.66000000000001
2014-10-09,64.32000000000001
2014-10-10,67.0
2014-10-11,64.99000000000001
2014-10-12,61.64
2014-10-13,60.970000000000006
2014-10-14,62.980000000000004
2014-10-15,64.32000000000001
2014-10-16,61.64
2014-10-17,64.32000000000001
2014-10-18,62.980000000000004
2014-10-19,59.63
2014-10-20,64.32000000000001
2014-10-21,60.970000000000006
2014-10-22,61.64
2014-10-23,61.64
2014-10-24,59.63
2014-10-25,59.63
2014-10-26,56.28
2014-10-27,61.64
2014-10-28,58.290000000000006
