Date,Movies
2014-04-09,33.0
2014-04-10,33.75
2014-04-11,45.75
2014-04-12,70.5
2014-04-13,73.5
2014-04-14,45.75
2014-04-15,42.75
2014-04-16,43.5
2014-04-17,44.25
2014-04-18,58.5
2014-04-19,73.5
2014-04-20,75.0
2014-04-21,44.25
2014-04-22,41.25
2014-04-23,40.5
2014-04-24,38.25
2014-04-25,48.0
2014-04-26,71.25
2014-04-27,72.75
2014-04-28,40.5
2014-04-29,36.75
2014-04-30,37.5
2014-05-01,37.74
2014-05-02,44.4
2014-05-03,68.82
2014-05-04,72.52
2014-05-05,40.7
2014-05-06,35.519999999999996
2014-05-07,35.519999999999996
2014-05-08,34.78
2014-05-09,43.66
2014-05-10,65.86
2014-05-11,65.86
2014-05-12,37.0
2014-05-13,34.04
2014-05-14,34.04
2014-05-15,36.26
2014-05-16,44.4
2014-05-17,65.86
2014-05-18,65.12
2014-05-19,37.74
2014-05-20,34.04
2014-05-21,35.519999999999996
2014-05-22,37.0
2014-05-23,48.1
2014-05-24,67.34
2014-05-25,74.0
2014-05-26,67.34
2014-05-27,41.44
2014-05-28,34.78
2014-05-29,37.74
2014-05-30,46.62
2014-05-31,67.34
2014-06-01,74.26
2014-06-02,46.61
2014-06-03,43.45
2014-06-04,41.870000000000005
2014-06-05,45.82
2014-06-06,53.72
2014-06-07,71.89
2014-06-08,71.10000000000001
2014-06-09,49.77
2014-06-10,45.03
2014-06-11,46.61
2014-06-12,46.61
2014-06-13,55.300000000000004
2014-06-14,75.84
2014-06-15,71.89
2014-06-16,48.190000000000005
2014-06-17,46.61
2014-06-18,46.61
2014-06-19,48.980000000000004
2014-06-20,57.67
2014-06-21,76.63000000000001
2014-06-22,75.84
2014-06-23,50.56
2014-06-24,48.190000000000005
2014-06-25,48.190000000000005
2014-06-26,46.61
2014-06-27,57.67
2014-06-28,77.42
2014-06-29,79.0
2014-06-30,52.14
2014-07-01,48.72
2014-07-02,53.07
2014-07-03,55.68
2014-07-04,71.34
2014-07-05,79.17
2014-07-06,82.65
2014-07-07,55.68
2014-07-08,52.2
2014-07-09,47.85
2014-07-10,49.589999999999996
2014-07-11,59.16
2014-07-12,80.91
2014-07-13,78.3
2014-07-14,51.33
2014-07-15,48.72
2014-07-16,50.46
2014-07-17,47.85
2014-07-18,60.03
2014-07-19,87.0
2014-07-20,80.04
2014-07-21,53.07
2014-07-22,51.33
2014-07-23,49.589999999999996
2014-07-24,48.72
2014-07-25,60.03
2014-07-26,80.91
2014-07-27,85.26
2014-07-28,53.94
2014-07-29,50.46
2014-07-30,47.85
2014-07-31,50.46
2014-08-01,61.419999999999995
2014-08-02,83.0
2014-08-03,81.33999999999999
2014-08-04,52.29
2014-08-05,47.309999999999995
2014-08-06,46.48
2014-08-07,48.14
2014-08-08,57.269999999999996
2014-08-09,82.17
2014-08-10,78.85
2014-08-11,55.61
2014-08-12,70.55
2014-08-13,55.61
2014-08-14,48.97
2014-08-15,56.44
2014-08-16,79.67999999999999
2014-08-17,78.85
2014-08-18,46.48
2014-08-19,42.33
2014-08-20,40.669999999999995
2014-08-21,41.5
2014-08-22,53.949999999999996
2014-08-23,76.36
2014-08-24,68.06
2014-08-25,39.01
2014-08-26,39.839999999999996
2014-08-27,38.18
2014-08-28,37.35
2014-08-29,48.97
2014-08-30,72.21
2014-08-31,78.85
2014-09-01,63.050000000000004
2014-09-02,34.45
2014-09-03,30.55
2014-09-04,30.55
2014-09-05,39.65
2014-09-06,62.400000000000006
2014-09-07,55.9
2014-09-08,32.5
2014-09-09,29.900000000000002
2014-09-10,31.200000000000003
2014-09-11,31.85
2014-09-12,42.25
2014-09-13,65.0
2014-09-14,59.15
2014-09-15,33.800000000000004
2014-09-16,31.85
2014-09-17,32.5
2014-09-18,31.85
2014-09-19,41.6
2014-09-20,65.0
2014-09-21,59.800000000000004
2014-09-22,35.1
2014-09-23,30.55
2014-09-24,33.15
2014-09-25,33.800000000000004
2014-09-26,40.300000000000004
2014-09-27,63.7
2014-09-28,59.800000000000004
2014-09-29,35.1
2014-09-30,32.5
2014-10-01,30.959999999999997
2014-10-02,33.839999999999996
2014-10-03,46.08
2014-10-04,71.28
2014-10-05,65.52
2014-10-06,36.0
2014-10-07,34.56
2014-10-08,33.839999999999996
2014-10-09,35.28
2014-10-10,46.8
2014-10-11,72.0
2014-10-12,66.24
2014-10-13,41.76
2014-10-14,36.0
2014-10-15,35.28
2014-10-16,35.28
2014-10-17,45.36
2014-10-18,70.56
2014-10-19,62.64
2014-10-20,36.72
2014-10-21,36.0
2014-10-22,34.56
2014-10-23,35.28
2014-10-24,45.36
2014-10-25,66.24
2014-10-26,64.08
2014-10-27,36.0
2014-10-28,36.0
2014-10-29,35.28
2014-10-30,36.72
2014-10-31,48.239999999999995
2014-11-01,81.0
2014-11-02,69.66000000000001
2014-11-03,37.260000000000005
2014-11-04,36.45
2014-11-05,33.21
2014-11-06,35.64
2014-11-07,46.980000000000004
2014-11-08,73.71000000000001
2014-11-09,63.99
2014-11-10,41.31
2014-11-11,42.120000000000005
2014-11-12,34.830000000000005
2014-11-13,35.64
2014-11-14,46.17
2014-11-15,73.71000000000001
2014-11-16,67.23
2014-11-17,38.88
2014-11-18,35.64
2014-11-19,34.02
2014-11-20,34.830000000000005
2014-11-21,45.36
2014-11-22,72.9
2014-11-23,70.47
2014-11-24,42.120000000000005
2014-11-25,40.5
2014-11-26,51.03
2014-11-27,65.61
2014-11-28,73.71000000000001
2014-11-29,79.38000000000001
2014-11-30,67.23
2014-12-01,30.96
2014-12-02,29.24
2014-12-03,28.38
2014-12-04,28.38
2014-12-05,34.4
2014-12-06,53.32
2014-12-07,51.6
2014-12-08,31.82
2014-12-09,27.52
2014-12-10,28.38
2014-12-11,29.24
2014-12-12,35.26
2014-12-13,53.32
2014-12-14,53.32
2014-12-15,32.68
2014-12-16,32.68
2014-12-17,33.54
2014-12-18,36.12
2014-12-19,41.28
2014-12-20,56.76
2014-12-21,60.199999999999996
2014-12-22,47.3
2014-12-23,44.72
2014-12-24,55.04
2014-12-25,86.0
2014-12-26,76.53999999999999
2014-12-27,77.4
2014-12-28,72.24
2014-12-29,54.18
2014-12-30,53.32
2014-12-31,54.18
2015-01-01,86.0
2015-01-02,77.4
2015-01-03,82.56
2015-01-04,74.82
2015-01-05,45.58
2015-01-06,41.28
2015-01-07,38.7
2015-01-08,40.42
2015-01-09,49.019999999999996
2015-01-10,73.96
2015-01-11,67.08
2015-01-12,44.72
2015-01-13,36.12
2015-01-14,36.98
2015-01-15,40.42
2015-01-16,50.74
2015-01-17,79.98
2015-01-18,76.53999999999999
2015-01-19,61.06
2015-01-20,39.56
2015-01-21,36.12
2015-01-22,36.12
2015-01-23,47.3
2015-01-24,78.26
2015-01-25,73.96
2015-01-26,41.28
2015-01-27,37.839999999999996
2015-01-28,35.26
2015-01-29,36.98
2015-01-30,43.0
2015-01-31,69.66
2015-02-01,55.38
2015-02-02,31.98
