Date,Return on Equity
2017-05-03,25.840000000000003
2017-05-04,32.64
2017-05-05,13.600000000000001
2017-05-06,16.32
2017-05-07,48.28
2017-05-08,32.64
2017-05-09,32.64
2017-05-10,33.32
2017-05-11,13.600000000000001
2017-05-12,0.0
2017-05-13,8.16
2017-05-14,33.32
2017-05-15,13.600000000000001
2017-05-16,14.280000000000001
2017-05-17,21.080000000000002
2017-05-18,35.36
2017-05-19,14.280000000000001
2017-05-20,25.840000000000003
2017-05-21,17.0
2017-05-22,27.880000000000003
2017-05-23,27.200000000000003
2017-05-24,14.280000000000001
2017-05-25,14.280000000000001
2017-05-26,29.92
2017-05-27,17.68
2017-05-28,27.200000000000003
2017-05-29,25.16
2017-05-30,0.0
2017-05-31,68.0
2017-06-01,8.879999999999999
2017-06-02,18.13
2017-06-03,21.09
2017-06-04,20.72
2017-06-05,34.41
2017-06-06,33.67
2017-06-07,21.46
2017-06-08,17.39
2017-06-09,13.69
2017-06-10,37.0
2017-06-11,21.46
2017-06-12,30.34
2017-06-13,21.09
2017-06-14,34.04
2017-06-15,8.879999999999999
2017-06-16,35.89
2017-06-17,21.09
2017-06-18,31.82
2017-06-19,17.02
2017-06-20,20.72
2017-06-21,24.79
2017-06-22,33.67
2017-06-23,12.58
2017-06-24,9.99
2017-06-25,21.09
2017-06-26,22.2
2017-06-27,22.2
2017-06-28,9.25
2017-06-29,27.75
2017-06-30,32.56
2017-07-01,5.949999999999999
2017-07-02,0.0
2017-07-03,10.85
2017-07-04,11.899999999999999
2017-07-05,5.25
2017-07-06,0.0
2017-07-07,5.25
2017-07-08,5.6
2017-07-09,11.899999999999999
2017-07-10,15.049999999999999
2017-07-11,35.0
2017-07-12,19.95
2017-07-13,10.149999999999999
2017-07-14,10.149999999999999
2017-07-15,11.899999999999999
2017-07-16,23.799999999999997
2017-07-17,10.149999999999999
2017-07-18,4.8999999999999995
2017-07-19,19.95
2017-07-20,0.0
2017-07-21,10.149999999999999
2017-07-22,11.549999999999999
2017-07-23,17.15
2017-07-24,19.95
2017-07-25,25.2
2017-07-26,15.049999999999999
2017-07-27,24.849999999999998
2017-07-28,5.25
2017-07-29,5.949999999999999
2017-07-30,11.899999999999999
2017-07-31,19.95
2017-08-01,11.47
2017-08-02,5.58
2017-08-03,17.669999999999998
2017-08-04,31.0
2017-08-05,7.13
2017-08-06,7.13
2017-08-07,11.47
2017-08-08,17.05
2017-08-09,17.669999999999998
2017-08-10,18.29
2017-08-11,18.6
2017-08-12,13.95
2017-08-13,7.13
2017-08-14,12.09
2017-08-15,17.98
2017-08-16,5.89
2017-08-17,11.78
2017-08-18,6.2
2017-08-19,7.13
2017-08-20,6.82
2017-08-21,11.16
2017-08-22,11.78
2017-08-23,5.89
2017-08-24,5.89
2017-08-25,17.98
2017-08-26,20.77
2017-08-27,6.82
2017-08-28,0.0
2017-08-29,17.36
2017-08-30,11.78
2017-08-31,17.98
2017-09-01,11.52
2017-09-02,0.0
2017-09-03,19.2
2017-09-04,12.16
2017-09-05,21.12
2017-09-06,25.6
2017-09-07,0.0
2017-09-08,16.0
2017-09-09,6.4
2017-09-10,6.4
2017-09-11,48.0
2017-09-12,32.0
2017-09-13,26.88
2017-09-14,10.88
2017-09-15,27.52
2017-09-16,6.4
2017-09-17,12.16
2017-09-18,62.72
2017-09-19,26.240000000000002
2017-09-20,21.12
2017-09-21,37.76
2017-09-22,16.64
2017-09-23,12.8
2017-09-24,25.6
2017-09-25,64.0
2017-09-26,5.12
2017-09-27,21.76
2017-09-28,26.88
2017-09-29,10.88
2017-09-30,26.240000000000002
2017-10-01,36.18
2017-10-02,49.580000000000005
2017-10-03,54.940000000000005
2017-10-04,46.900000000000006
2017-10-05,42.88
2017-10-06,30.150000000000002
2017-10-07,10.05
2017-10-08,54.27
2017-10-09,67.0
2017-10-10,32.830000000000005
2017-10-11,46.230000000000004
2017-10-12,25.46
2017-10-13,44.220000000000006
2017-10-14,30.82
2017-10-15,40.2
2017-10-16,50.92
2017-10-17,42.88
2017-10-18,17.42
2017-10-19,48.24
2017-10-20,22.78
2017-10-21,36.85
2017-10-22,45.56
2017-10-23,54.940000000000005
2017-10-24,58.96
2017-10-25,42.21
2017-10-26,47.57
2017-10-27,26.8
2017-10-28,20.77
2017-10-29,45.56
2017-10-30,49.580000000000005
2017-10-31,22.110000000000003
2017-11-01,24.64
2017-11-02,23.87
2017-11-03,24.64
2017-11-04,16.17
2017-11-05,43.89
2017-11-06,40.04
2017-11-07,50.82
2017-11-08,37.730000000000004
2017-11-09,55.44
2017-11-10,21.560000000000002
2017-11-11,28.490000000000002
2017-11-12,40.81
2017-11-13,43.89
2017-11-14,43.89
2017-11-15,36.96
2017-11-16,47.74
2017-11-17,24.64
2017-11-18,36.96
2017-11-19,16.17
2017-11-20,41.58
2017-11-21,45.43
2017-11-22,18.48
2017-11-23,0.0
2017-11-24,15.4
2017-11-25,12.32
2017-11-26,23.87
2017-11-27,47.74
2017-11-28,39.27
2017-11-29,77.0
2017-11-30,64.68
2017-12-01,32.76
2017-12-02,45.36
2017-12-03,57.33
2017-12-04,56.07
2017-12-05,63.0
2017-12-06,56.7
2017-12-07,40.32
2017-12-08,57.96
2017-12-09,39.06
2017-12-10,48.51
2017-12-11,42.84
2017-12-12,37.17
2017-12-13,35.28
2017-12-14,27.72
2017-12-15,39.69
2017-12-16,13.23
2017-12-17,22.68
2017-12-18,11.34
2017-12-19,11.34
2017-12-20,23.31
2017-12-21,8.82
2017-12-22,0.0
2017-12-23,6.93
2017-12-24,7.5600000000000005
2017-12-25,0.0
2017-12-26,0.0
2017-12-27,6.3
2017-12-28,0.0
2017-12-29,6.3
2017-12-30,26.46
2017-12-31,13.23
2018-01-01,6.4
2018-01-02,13.600000000000001
2018-01-03,18.8
2018-01-04,10.4
2018-01-05,10.8
2018-01-06,0.0
2018-01-07,6.0
2018-01-08,18.0
2018-01-09,5.2
2018-01-10,15.600000000000001
2018-01-11,10.4
2018-01-12,5.2
2018-01-13,9.200000000000001
2018-01-14,12.0
2018-01-15,13.600000000000001
2018-01-16,10.4
2018-01-17,10.0
2018-01-18,15.600000000000001
2018-01-19,8.0
2018-01-20,18.400000000000002
2018-01-21,20.8
2018-01-22,30.0
2018-01-23,27.6
2018-01-24,25.6
2018-01-25,23.200000000000003
2018-01-26,25.6
2018-01-27,12.4
2018-01-28,33.2
2018-01-29,32.4
2018-01-30,40.0
2018-01-31,22.400000000000002
2018-02-01,43.66
2018-02-02,25.9
2018-02-03,22.2
2018-02-04,28.86
2018-02-05,17.759999999999998
2018-02-06,31.08
2018-02-07,42.92
2018-02-08,25.16
2018-02-09,25.16
2018-02-10,14.8
2018-02-11,14.8
2018-02-12,37.0
2018-02-13,43.66
2018-02-14,18.5
2018-02-15,12.58
2018-02-16,25.9
2018-02-17,7.4
2018-02-18,30.34
2018-02-19,19.24
2018-02-20,31.08
2018-02-21,42.92
2018-02-22,62.16
2018-02-23,19.24
2018-02-24,22.2
2018-02-25,14.8
2018-02-26,74.0
2018-02-27,31.08
2018-02-28,43.66
2018-03-01,11.969999999999999
2018-03-02,18.24
2018-03-03,37.05
2018-03-04,43.88999999999999
2018-03-05,30.779999999999998
2018-03-06,12.54
2018-03-07,30.779999999999998
