Date,Market Timing
2014-09-27,23.76
2014-09-28,0.0
2014-09-29,26.4
2014-09-30,0.0
2014-10-01,19.0
2014-10-02,19.0
2014-10-03,39.52
2014-10-04,49.4
2014-10-05,0.0
2014-10-06,0.0
2014-10-07,19.0
2014-10-08,19.0
2014-10-09,19.76
2014-10-10,0.0
2014-10-11,24.32
2014-10-12,24.32
2014-10-13,0.0
2014-10-14,0.0
2014-10-15,47.12
2014-10-16,28.12
2014-10-17,20.52
2014-10-18,25.080000000000002
2014-10-19,49.4
2014-10-20,0.0
2014-10-21,18.240000000000002
2014-10-22,38.0
2014-10-23,19.0
2014-10-24,19.76
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,76.0
2014-10-28,28.12
2014-10-29,28.12
2014-10-30,0.0
2014-10-31,20.52
2014-11-01,0.0
2014-11-02,51.0
2014-11-03,0.0
2014-11-04,39.27
2014-11-05,0.0
2014-11-06,39.27
2014-11-07,0.0
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.0
2014-11-11,0.0
2014-11-12,39.27
2014-11-13,0.0
2014-11-14,0.0
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,38.76
2014-11-18,42.33
2014-11-19,0.0
2014-11-20,0.0
2014-11-21,40.8
2014-11-22,48.96
2014-11-23,0.0
2014-11-24,39.27
2014-11-25,39.78
2014-11-26,42.84
2014-11-27,0.0
2014-11-28,47.94
2014-11-29,0.0
2014-11-30,48.45
2014-12-01,12.959999999999999
2014-12-02,12.959999999999999
2014-12-03,0.0
2014-12-04,13.32
2014-12-05,0.0
2014-12-06,16.919999999999998
2014-12-07,16.919999999999998
2014-12-08,20.16
2014-12-09,13.32
2014-12-10,0.0
2014-12-11,0.0
2014-12-12,14.399999999999999
2014-12-13,17.64
2014-12-14,0.0
2014-12-15,0.0
2014-12-16,14.04
2014-12-17,14.399999999999999
2014-12-18,0.0
2014-12-19,15.479999999999999
2014-12-20,0.0
2014-12-21,19.08
2014-12-22,0.0
2014-12-23,0.0
2014-12-24,36.0
