Date,Gross Domestic Product
2014-04-07,32.339999999999996
2014-04-08,36.75
2014-04-09,22.54
2014-04-10,30.38
2014-04-11,27.439999999999998
2014-04-12,19.6
2014-04-13,9.31
2014-04-14,44.1
2014-04-15,18.13
2014-04-16,37.73
2014-04-17,30.87
2014-04-18,16.66
2014-04-19,9.8
2014-04-20,20.09
2014-04-21,26.95
2014-04-22,44.1
2014-04-23,33.32
2014-04-24,49.0
2014-04-25,19.6
2014-04-26,9.31
2014-04-27,9.31
2014-04-28,29.4
2014-04-29,28.91
2014-04-30,32.83
2014-05-01,43.68000000000001
2014-05-02,38.080000000000005
2014-05-03,18.48
2014-05-04,8.96
2014-05-05,47.6
2014-05-06,43.68000000000001
2014-05-07,33.040000000000006
2014-05-08,56.00000000000001
2014-05-09,19.040000000000003
2014-05-10,18.48
2014-05-11,39.2
2014-05-12,29.680000000000003
2014-05-13,50.96000000000001
2014-05-14,44.24
2014-05-15,26.320000000000004
2014-05-16,22.96
2014-05-17,19.040000000000003
2014-05-18,19.040000000000003
2014-05-19,33.040000000000006
2014-05-20,22.96
2014-05-21,29.120000000000005
2014-05-22,20.720000000000002
2014-05-23,44.800000000000004
2014-05-24,22.400000000000002
2014-05-25,11.760000000000002
2014-05-26,31.92
2014-05-27,16.8
2014-05-28,36.400000000000006
2014-05-29,42.00000000000001
2014-05-30,26.320000000000004
2014-05-31,10.64
2014-06-01,11.5
2014-06-02,20.75
2014-06-03,17.5
2014-06-04,14.75
2014-06-05,12.0
2014-06-06,12.5
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,12.0
2014-06-10,12.0
2014-06-11,12.0
2014-06-12,24.25
2014-06-13,25.0
2014-06-14,7.75
2014-06-15,8.0
2014-06-16,12.0
2014-06-17,6.0
2014-06-18,6.0
2014-06-19,6.0
2014-06-20,6.5
2014-06-21,23.25
2014-06-22,0.0
2014-06-23,18.25
2014-06-24,0.0
2014-06-25,12.0
2014-06-26,12.0
2014-06-27,6.25
2014-06-28,7.75
2014-06-29,11.75
2014-06-30,12.0
2014-07-01,12.18
2014-07-02,6.3
2014-07-03,9.87
2014-07-04,0.0
2014-07-05,17.22
2014-07-06,7.9799999999999995
2014-07-07,6.09
2014-07-08,5.88
2014-07-09,12.18
2014-07-10,6.09
2014-07-11,12.809999999999999
2014-07-12,7.56
2014-07-13,7.56
2014-07-14,6.09
2014-07-15,21.0
2014-07-16,9.24
2014-07-17,18.9
2014-07-18,12.809999999999999
2014-07-19,15.33
2014-07-20,0.0
2014-07-21,9.24
2014-07-22,6.09
2014-07-23,18.48
2014-07-24,12.18
2014-07-25,6.51
2014-07-26,7.77
2014-07-27,15.54
2014-07-28,0.0
2014-07-29,0.0
2014-07-30,12.18
2014-07-31,9.24
2014-08-01,23.7
2014-08-02,18.9
2014-08-03,9.6
2014-08-04,15.0
2014-08-05,15.299999999999999
2014-08-06,15.299999999999999
2014-08-07,11.7
2014-08-08,8.1
2014-08-09,9.6
2014-08-10,9.6
2014-08-11,15.0
2014-08-12,10.799999999999999
2014-08-13,0.0
2014-08-14,7.8
2014-08-15,7.8
2014-08-16,9.299999999999999
2014-08-17,0.0
2014-08-18,15.299999999999999
2014-08-19,7.5
2014-08-20,30.0
2014-08-21,15.0
2014-08-22,15.6
2014-08-23,0.0
2014-08-24,9.299999999999999
2014-08-25,18.599999999999998
2014-08-26,14.7
2014-08-27,26.099999999999998
2014-08-28,18.599999999999998
2014-08-29,27.0
2014-08-30,14.1
2014-08-31,23.4
2014-09-01,27.36
2014-09-02,26.64
2014-09-03,41.76
2014-09-04,30.24
2014-09-05,39.6
2014-09-06,18.72
2014-09-07,28.08
2014-09-08,33.839999999999996
2014-09-09,51.12
2014-09-10,41.04
2014-09-11,33.839999999999996
2014-09-12,30.959999999999997
2014-09-13,19.439999999999998
2014-09-14,37.44
2014-09-15,59.76
2014-09-16,63.36
2014-09-17,67.67999999999999
2014-09-18,53.28
2014-09-19,47.519999999999996
2014-09-20,10.08
2014-09-21,9.36
2014-09-22,41.04
2014-09-23,63.36
2014-09-24,72.0
2014-09-25,23.04
2014-09-26,28.08
2014-09-27,10.08
2014-09-28,19.439999999999998
2014-09-29,52.559999999999995
2014-09-30,52.559999999999995
2014-10-01,54.18
2014-10-02,15.75
2014-10-03,32.76
2014-10-04,10.08
2014-10-05,0.0
2014-10-06,63.0
2014-10-07,23.31
2014-10-08,39.06
2014-10-09,23.94
2014-10-10,32.76
2014-10-11,0.0
2014-10-12,19.53
2014-10-13,39.69
2014-10-14,22.68
2014-10-15,37.8
2014-10-16,30.87
2014-10-17,32.76
2014-10-18,10.08
2014-10-19,10.08
2014-10-20,15.75
2014-10-21,60.480000000000004
2014-10-22,15.120000000000001
2014-10-23,61.74
2014-10-24,16.38
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,22.68
2014-10-28,30.240000000000002
2014-10-29,7.5600000000000005
2014-10-30,46.62
2014-10-31,33.39
2014-11-01,0.0
2014-11-02,26.46
2014-11-03,38.34
2014-11-04,49.68000000000001
2014-11-05,32.400000000000006
2014-11-06,45.36
2014-11-07,43.74
2014-11-08,10.8
2014-11-09,10.8
2014-11-10,24.840000000000003
2014-11-11,33.480000000000004
2014-11-12,45.36
2014-11-13,24.840000000000003
2014-11-14,34.02
2014-11-15,10.260000000000002
2014-11-16,30.78
2014-11-17,44.82
2014-11-18,44.28
2014-11-19,25.92
2014-11-20,21.060000000000002
2014-11-21,34.02
2014-11-22,10.260000000000002
2014-11-23,15.66
2014-11-24,24.840000000000003
2014-11-25,25.380000000000003
2014-11-26,54.0
2014-11-27,21.6
2014-11-28,0.0
2014-11-29,10.260000000000002
2014-11-30,15.120000000000001
2014-12-01,28.560000000000002
2014-12-02,24.990000000000002
2014-12-03,15.81
2014-12-04,29.07
2014-12-05,29.580000000000002
2014-12-06,24.48
2014-12-07,32.13
2014-12-08,29.07
2014-12-09,51.0
2014-12-10,39.27
2014-12-11,33.15
2014-12-12,23.97
2014-12-13,0.0
2014-12-14,8.67
2014-12-15,27.03
2014-12-16,16.830000000000002
2014-12-17,23.97
2014-12-18,28.560000000000002
2014-12-19,22.44
2014-12-20,0.0
2014-12-21,27.03
2014-12-22,7.65
2014-12-23,7.65
2014-12-24,8.67
2014-12-25,19.89
2014-12-26,0.0
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,7.140000000000001
2014-12-30,11.22
2014-12-31,11.73
2015-01-01,0.0
2015-01-02,7.8
2015-01-03,8.4
2015-01-04,8.4
2015-01-05,13.799999999999999
2015-01-06,20.4
2015-01-07,13.799999999999999
2015-01-08,20.4
2015-01-09,27.599999999999998
2015-01-10,16.8
2015-01-11,0.0
2015-01-12,19.8
2015-01-13,26.4
2015-01-14,33.6
2015-01-15,40.199999999999996
2015-01-16,21.0
2015-01-17,25.8
2015-01-18,0.0
2015-01-19,28.799999999999997
2015-01-20,13.2
2015-01-21,60.0
2015-01-22,6.6
2015-01-23,34.199999999999996
2015-01-24,8.4
2015-01-25,0.0
2015-01-26,19.8
2015-01-27,39.6
2015-01-28,26.4
2015-01-29,13.2
2015-01-30,13.2
2015-01-31,16.2
2015-02-01,42.21
2015-02-02,53.6
2015-02-03,44.220000000000006
2015-02-04,44.220000000000006
2015-02-05,34.17
2015-02-06,25.46
2015-02-07,0.0
2015-02-08,12.73
2015-02-09,67.0
2015-02-10,28.810000000000002
2015-02-11,53.6
2015-02-12,48.24
2015-02-13,41.54
2015-02-14,37.52
2015-02-15,38.190000000000005
2015-02-16,58.290000000000006
2015-02-17,29.48
2015-02-18,59.63
2015-02-19,44.89
2015-02-20,25.46
2015-02-21,12.06
2015-02-22,48.910000000000004
2015-02-23,52.93
2015-02-24,38.86
2015-02-25,59.63
2015-02-26,40.2
2015-02-27,40.2
2015-02-28,48.910000000000004
2015-03-01,7.539999999999999
2015-03-02,27.839999999999996
2015-03-03,57.99999999999999
2015-03-04,45.82
2015-03-05,27.839999999999996
2015-03-06,38.86
2015-03-07,15.659999999999998
2015-03-08,8.12
2015-03-09,19.139999999999997
2015-03-10,27.839999999999996
2015-03-11,25.52
2015-03-12,47.559999999999995
2015-03-13,33.059999999999995
2015-03-14,16.24
2015-03-15,12.18
2015-03-16,19.139999999999997
2015-03-17,31.9
2015-03-18,16.24
2015-03-19,31.319999999999997
2015-03-20,19.72
2015-03-21,8.12
2015-03-22,23.779999999999998
2015-03-23,19.139999999999997
2015-03-24,41.18
2015-03-25,21.459999999999997
2015-03-26,23.2
2015-03-27,16.24
2015-03-28,8.7
2015-03-29,0.0
2015-03-30,16.24
2015-03-31,35.379999999999995
2015-04-01,42.18
2015-04-02,8.549999999999999
2015-04-03,9.12
2015-04-04,21.659999999999997
2015-04-05,27.929999999999996
2015-04-06,38.76
2015-04-07,45.029999999999994
2015-04-08,24.509999999999998
2015-04-09,25.08
2015-04-10,38.76
2015-04-11,0.0
2015-04-12,15.959999999999999
2015-04-13,37.05
2015-04-14,55.85999999999999
2015-04-15,33.059999999999995
2015-04-16,33.059999999999995
2015-04-17,13.11
2015-04-18,0.0
2015-04-19,31.919999999999998
2015-04-20,36.48
2015-04-21,49.589999999999996
2015-04-22,37.05
2015-04-23,41.61
2015-04-24,17.099999999999998
2015-04-25,21.659999999999997
2015-04-26,21.659999999999997
2015-04-27,50.16
2015-04-28,56.99999999999999
2015-04-29,25.08
2015-04-30,29.069999999999997
2015-05-01,13.16
2015-05-02,11.28
2015-05-03,11.28
2015-05-04,17.39
2015-05-05,16.919999999999998
2015-05-06,34.78
2015-05-07,17.86
2015-05-08,18.33
2015-05-09,0.0
2015-05-10,5.64
2015-05-11,13.16
2015-05-12,47.0
2015-05-13,25.849999999999998
2015-05-14,4.699999999999999
2015-05-15,13.629999999999999
2015-05-16,5.64
2015-05-17,0.0
2015-05-18,17.39
2015-05-19,13.16
2015-05-20,17.39
2015-05-21,27.259999999999998
2015-05-22,14.1
2015-05-23,12.219999999999999
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,8.93
2015-05-27,13.16
2015-05-28,8.93
2015-05-29,9.399999999999999
2015-05-30,0.0
2015-05-31,5.64
2015-06-01,18.6
2015-06-02,26.04
2015-06-03,22.94
2015-06-04,11.78
2015-06-05,20.15
