Date,Accumulation
2014-08-22,4.59
2014-08-23,4.14
2014-08-24,1.3499999999999999
2014-08-25,4.41
2014-08-26,5.49
2014-08-27,8.64
2014-08-28,6.569999999999999
2014-08-29,5.67
2014-08-30,6.93
2014-08-31,1.3499999999999999
2014-09-01,1.54
2014-09-02,2.5200000000000005
2014-09-03,3.7800000000000002
2014-09-04,11.620000000000001
2014-09-05,10.64
2014-09-06,6.44
2014-09-07,6.44
2014-09-08,11.48
2014-09-09,8.540000000000001
2014-09-10,11.340000000000002
2014-09-11,12.88
2014-09-12,9.24
2014-09-13,3.22
2014-09-14,4.9
2014-09-15,8.96
2014-09-16,12.600000000000001
2014-09-17,6.44
2014-09-18,6.44
2014-09-19,2.66
2014-09-20,3.3600000000000003
2014-09-21,0.0
2014-09-22,10.22
2014-09-23,8.82
2014-09-24,8.96
2014-09-25,3.9200000000000004
2014-09-26,13.72
2014-09-27,10.22
2014-09-28,11.48
2014-09-29,14.000000000000002
2014-09-30,3.7800000000000002
2014-10-01,10.88
2014-10-02,9.92
2014-10-03,11.36
2014-10-04,6.24
2014-10-05,4.8
2014-10-06,6.08
2014-10-07,4.8
2014-10-08,9.6
2014-10-09,16.0
2014-10-10,10.24
2014-10-11,4.64
2014-10-12,9.28
2014-10-13,4.96
2014-10-14,12.0
2014-10-15,12.0
2014-10-16,14.56
2014-10-17,8.96
2014-10-18,4.8
2014-10-19,6.08
2014-10-20,1.28
2014-10-21,4.8
2014-10-22,8.32
2014-10-23,10.88
2014-10-24,5.12
2014-10-25,4.64
2014-10-26,4.64
2014-10-27,9.6
2014-10-28,9.44
2014-10-29,8.48
2014-10-30,4.8
2014-10-31,7.84
2014-11-01,11.4
2014-11-02,9.5
2014-11-03,6.46
2014-11-04,10.64
2014-11-05,4.94
2014-11-06,11.4
2014-11-07,9.88
2014-11-08,2.66
2014-11-09,9.120000000000001
2014-11-10,20.9
2014-11-11,17.86
2014-11-12,16.72
2014-11-13,18.62
2014-11-14,21.28
2014-11-15,22.42
2014-11-16,15.58
2014-11-17,15.2
2014-11-18,22.42
2014-11-19,25.080000000000002
2014-11-20,28.5
2014-11-21,11.78
2014-11-22,11.78
2014-11-23,6.46
2014-11-24,14.44
2014-11-25,19.0
2014-11-26,37.62
2014-11-27,38.0
2014-11-28,12.540000000000001
2014-11-29,6.46
2014-11-30,11.4
2014-12-01,11.02
2014-12-02,14.06
2014-12-03,19.0
2014-12-04,11.21
2014-12-05,13.870000000000001
2014-12-06,4.18
2014-12-07,11.4
2014-12-08,10.07
2014-12-09,15.58
2014-12-10,17.1
2014-12-11,18.81
2014-12-12,15.58
2014-12-13,3.04
2014-12-14,6.08
2014-12-15,8.17
2014-12-16,10.64
2014-12-17,7.22
2014-12-18,13.49
2014-12-19,3.99
2014-12-20,0.0
2014-12-21,6.2700000000000005
2014-12-22,5.32
2014-12-23,5.32
2014-12-24,5.89
2014-12-25,5.32
2014-12-26,16.72
2014-12-27,9.120000000000001
2014-12-28,7.6
2014-12-29,7.79
2014-12-30,10.45
2014-12-31,6.84
2015-01-01,1.16
2015-01-02,2.32
2015-01-03,2.9
2015-01-04,2.9
2015-01-05,5.22
2015-01-06,9.86
2015-01-07,2.32
2015-01-08,2.32
2015-01-09,4.64
2015-01-10,1.7399999999999998
2015-01-11,2.9
2015-01-12,3.4799999999999995
