Date,Economic Bubble
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,0.0
2014-08-06,22.680000000000003
2014-08-07,0.0
2014-08-08,24.360000000000003
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,0.0
2014-08-16,0.0
2014-08-17,0.0
2014-08-18,0.0
2014-08-19,22.680000000000003
2014-08-20,22.680000000000003
2014-08-21,0.0
2014-08-22,0.0
2014-08-23,0.0
2014-08-24,28.000000000000004
2014-08-25,0.0
2014-08-26,0.0
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,56.99999999999999
2014-09-03,0.0
2014-09-04,0.0
2014-09-05,0.0
2014-09-06,35.339999999999996
2014-09-07,0.0
2014-09-08,28.499999999999996
2014-09-09,0.0
2014-09-10,27.929999999999996
2014-09-11,0.0
2014-09-12,0.0
2014-09-13,0.0
2014-09-14,0.0
2014-09-15,0.0
2014-09-16,0.0
2014-09-17,0.0
2014-09-18,0.0
2014-09-19,0.0
2014-09-20,0.0
2014-09-21,0.0
2014-09-22,0.0
2014-09-23,27.929999999999996
2014-09-24,0.0
2014-09-25,29.069999999999997
2014-09-26,0.0
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,0.0
2014-09-30,0.0
2014-10-01,24.990000000000002
2014-10-02,0.0
2014-10-03,0.0
2014-10-04,0.0
2014-10-05,32.64
2014-10-06,0.0
2014-10-07,24.990000000000002
2014-10-08,0.0
2014-10-09,0.0
2014-10-10,26.52
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,25.5
2014-10-14,0.0
2014-10-15,0.0
2014-10-16,25.5
2014-10-17,0.0
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,51.0
2014-10-21,0.0
2014-10-22,24.990000000000002
2014-10-23,24.990000000000002
2014-10-24,0.0
2014-10-25,33.15
2014-10-26,0.0
2014-10-27,0.0
2014-10-28,24.48
2014-10-29,24.990000000000002
2014-10-30,25.5
2014-10-31,0.0
2014-11-01,0.0
2014-11-02,62.0
2014-11-03,0.0
2014-11-04,0.0
2014-11-05,0.0
2014-11-06,24.18
2014-11-07,0.0
2014-11-08,0.0
2014-11-09,62.0
2014-11-10,24.18
2014-11-11,48.98
2014-11-12,0.0
2014-11-13,0.0
2014-11-14,24.8
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,23.56
2014-11-18,0.0
2014-11-19,24.8
2014-11-20,24.18
2014-11-21,0.0
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,0.0
2014-11-25,0.0
2014-11-26,0.0
2014-11-27,0.0
2014-11-28,0.0
2014-11-29,0.0
2014-11-30,29.759999999999998
2014-12-01,29.28
2014-12-02,0.0
2014-12-03,61.0
2014-12-04,0.0
2014-12-05,0.0
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,61.0
2014-12-09,30.5
2014-12-10,0.0
2014-12-11,47.58
2014-12-12,0.0
2014-12-13,0.0
2014-12-14,40.87
2014-12-15,32.33
2014-12-16,0.0
2014-12-17,0.0
2014-12-18,0.0
2014-12-19,35.38
2014-12-20,42.089999999999996
2014-12-21,42.699999999999996
2014-12-22,0.0
2014-12-23,0.0
2014-12-24,0.0
2014-12-25,47.58
2014-12-26,0.0
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,0.0
2014-12-30,0.0
2014-12-31,36.6
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,16.5
2015-01-06,33.0
2015-01-07,0.0
2015-01-08,0.0
2015-01-09,16.830000000000002
2015-01-10,0.0
2015-01-11,19.8
2015-01-12,0.0
2015-01-13,0.0
2015-01-14,0.0
2015-01-15,0.0
2015-01-16,16.830000000000002
2015-01-17,0.0
2015-01-18,20.130000000000003
2015-01-19,0.0
2015-01-20,15.84
2015-01-21,0.0
2015-01-22,16.17
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,34.3
2015-02-03,0.0
2015-02-04,0.0
2015-02-05,0.0
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,43.4
2015-02-09,0.0
2015-02-10,34.3
2015-02-11,34.3
2015-02-12,0.0
2015-02-13,36.4
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,37.099999999999994
2015-02-17,52.5
2015-02-18,70.0
2015-02-19,0.0
2015-02-20,36.4
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,34.3
2015-02-24,34.3
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,35.0
2015-02-28,42.699999999999996
2015-03-01,0.0
2015-03-02,0.0
2015-03-03,35.88
2015-03-04,36.4
2015-03-05,36.92
2015-03-06,38.480000000000004
2015-03-07,46.800000000000004
2015-03-08,0.0
2015-03-09,37.44
2015-03-10,36.92
2015-03-11,36.92
2015-03-12,0.0
2015-03-13,0.0
2015-03-14,0.0
2015-03-15,0.0
2015-03-16,0.0
2015-03-17,37.96
2015-03-18,0.0
2015-03-19,37.96
2015-03-20,0.0
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,0.0
2015-03-24,37.44
2015-03-25,0.0
2015-03-26,45.760000000000005
2015-03-27,0.0
2015-03-28,0.0
2015-03-29,52.0
2015-03-30,0.0
2015-03-31,38.480000000000004
2015-04-01,37.73
2015-04-02,38.71
2015-04-03,0.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,38.22
2015-04-07,36.75
2015-04-08,36.75
2015-04-09,37.24
2015-04-10,0.0
2015-04-11,49.0
2015-04-12,48.51
2015-04-13,37.24
2015-04-14,35.769999999999996
2015-04-15,36.75
2015-04-16,0.0
2015-04-17,38.71
2015-04-18,0.0
2015-04-19,0.0
2015-04-20,36.75
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,37.73
2015-04-24,38.71
2015-04-25,0.0
2015-04-26,48.51
2015-04-27,36.75
2015-04-28,36.75
2015-04-29,0.0
2015-04-30,37.24
2015-05-01,16.45
2015-05-02,0.0
2015-05-03,21.0
2015-05-04,16.099999999999998
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,17.15
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,0.0
2015-05-12,16.099999999999998
2015-05-13,0.0
2015-05-14,16.799999999999997
2015-05-15,17.15
2015-05-16,0.0
2015-05-17,0.0
2015-05-18,0.0
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,21.349999999999998
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,16.799999999999997
2015-05-29,35.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,0.0
2015-06-03,34.2
2015-06-04,34.65
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,34.2
2015-06-09,34.2
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,0.0
2015-06-13,0.0
2015-06-14,45.0
2015-06-15,34.65
2015-06-16,0.0
2015-06-17,0.0
2015-06-18,0.0
2015-06-19,0.0
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,36.45
2015-06-27,0.0
2015-06-28,45.0
2015-06-29,0.0
2015-06-30,0.0
2015-07-01,16.32
2015-07-02,0.0
2015-07-03,0.0
2015-07-04,22.400000000000002
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,16.0
2015-07-08,16.0
2015-07-09,0.0
2015-07-10,0.0
2015-07-11,0.0
2015-07-12,0.0
2015-07-13,0.0
2015-07-14,15.68
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,0.0
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,16.96
2015-07-21,16.0
2015-07-22,0.0
2015-07-23,16.32
2015-07-24,0.0
2015-07-25,0.0
2015-07-26,0.0
2015-07-27,0.0
2015-07-28,32.0
2015-07-29,0.0
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,17.39
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,16.45
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,47.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,33.92
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-05,44.160000000000004
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,33.28
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,33.28
2015-09-18,34.56
2015-09-19,44.160000000000004
2015-09-20,0.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,32.64
2015-09-24,33.28
2015-09-25,0.0
2015-09-26,44.160000000000004
2015-09-27,42.24
2015-09-28,64.0
2015-09-29,64.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,0.0
2015-10-04,0.0
2015-10-05,25.0
2015-10-06,50.0
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,33.0
2015-10-11,0.0
2015-10-12,26.0
2015-10-13,0.0
2015-10-14,24.5
2015-10-15,24.5
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,0.0
2015-10-20,24.0
2015-10-21,0.0
2015-10-22,24.5
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,0.0
2015-10-26,48.5
2015-10-27,24.0
2015-10-28,23.5
2015-10-29,0.0
2015-10-30,0.0
2015-10-31,0.0
2015-11-01,48.0
2015-11-02,0.0
2015-11-03,34.56
2015-11-04,35.04
2015-11-05,0.0
2015-11-06,36.0
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,35.519999999999996
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,36.48
2015-11-13,0.0
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,35.04
2015-11-18,0.0
2015-11-19,35.519999999999996
2015-11-20,0.0
2015-11-21,0.0
2015-11-22,45.6
2015-11-23,36.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,25.5
2015-12-04,26.52
2015-12-05,0.0
2015-12-06,33.15
2015-12-07,51.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,26.52
2015-12-12,33.660000000000004
2015-12-13,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,29.07
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,29.07
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,29.07
2015-12-29,29.07
2015-12-30,0.0
2015-12-31,0.0
2016-01-01,0.0
2016-01-02,46.61
2016-01-03,0.0
2016-01-04,0.0
2016-01-05,0.0
2016-01-06,39.53
2016-01-07,38.94
2016-01-08,0.0
2016-01-09,0.0
2016-01-10,0.0
2016-01-11,37.76
2016-01-12,0.0
2016-01-13,0.0
2016-01-14,37.169999999999995
2016-01-15,0.0
2016-01-16,0.0
2016-01-17,0.0
2016-01-18,40.71
2016-01-19,0.0
2016-01-20,38.94
2016-01-21,0.0
2016-01-22,59.0
2016-01-23,0.0
2016-01-24,0.0
2016-01-25,0.0
2016-01-26,38.35
2016-01-27,38.35
2016-01-28,0.0
2016-01-29,0.0
2016-01-30,0.0
2016-01-31,46.019999999999996
2016-02-01,21.5
2016-02-02,21.5
2016-02-03,0.0
2016-02-04,0.0
2016-02-05,21.93
2016-02-06,0.0
2016-02-07,0.0
2016-02-08,21.07
2016-02-09,43.0
2016-02-10,21.5
2016-02-11,0.0
2016-02-12,22.79
2016-02-13,0.0
2016-02-14,25.37
2016-02-15,0.0
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-20,0.0
2016-02-21,25.8
2016-02-22,21.07
2016-02-23,0.0
2016-02-24,21.07
2016-02-25,0.0
2016-02-26,0.0
2016-02-27,0.0
2016-02-28,25.8
2016-02-29,20.64
2016-03-01,72.0
2016-03-02,0.0
2016-03-03,48.239999999999995
2016-03-04,0.0
2016-03-05,57.599999999999994
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,36.72
2016-03-09,24.48
2016-03-10,24.48
2016-03-11,0.0
2016-03-12,0.0
2016-03-13,29.52
2016-03-14,36.72
2016-03-15,24.48
2016-03-16,24.48
2016-03-17,0.0
2016-03-18,25.919999999999998
2016-03-19,0.0
2016-03-20,29.52
2016-03-21,0.0
2016-03-22,25.2
2016-03-23,25.2
2016-03-24,38.16
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-02,0.0
2016-04-03,0.0
2016-04-04,21.78
2016-04-05,0.0
2016-04-06,21.78
2016-04-07,0.0
2016-04-08,0.0
2016-04-09,0.0
2016-04-10,0.0
2016-04-11,21.78
2016-04-12,0.0
2016-04-13,22.44
2016-04-14,0.0
2016-04-15,0.0
2016-04-16,27.720000000000002
2016-04-17,27.720000000000002
2016-04-18,0.0
2016-04-19,33.0
2016-04-20,66.0
2016-04-21,21.78
2016-04-22,44.88
2016-04-23,0.0
2016-04-24,27.060000000000002
2016-04-25,21.78
2016-04-26,0.0
2016-04-27,43.56
2016-04-28,21.78
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,0.0
2016-05-02,0.0
2016-05-03,27.200000000000003
2016-05-04,27.200000000000003
2016-05-05,55.080000000000005
2016-05-06,29.240000000000002
2016-05-07,68.0
2016-05-08,34.68
2016-05-09,27.880000000000003
2016-05-10,27.200000000000003
2016-05-11,27.880000000000003
2016-05-12,0.0
2016-05-13,29.240000000000002
2016-05-14,0.0
2016-05-15,0.0
2016-05-16,0.0
2016-05-17,27.880000000000003
2016-05-18,0.0
2016-05-19,0.0
2016-05-20,0.0
2016-05-21,34.0
2016-05-22,34.68
2016-05-23,55.760000000000005
2016-05-24,0.0
2016-05-25,28.560000000000002
2016-05-26,0.0
2016-05-27,0.0
2016-05-28,0.0
2016-05-29,0.0
2016-05-30,66.64
2016-05-31,0.0
2016-06-01,15.19
2016-06-02,0.0
2016-06-03,0.0
2016-06-04,0.0
2016-06-05,0.0
2016-06-06,0.0
2016-06-07,0.0
2016-06-08,15.19
2016-06-09,0.0
2016-06-10,16.43
2016-06-11,18.29
2016-06-12,0.0
2016-06-13,0.0
2016-06-14,0.0
2016-06-15,15.5
2016-06-16,31.0
2016-06-17,0.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,15.5
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,16.12
2016-06-25,0.0
2016-06-26,18.91
2016-06-27,15.5
2016-06-28,0.0
2016-06-29,0.0
2016-06-30,16.12
2016-07-01,0.0
2016-07-02,0.0
2016-07-03,20.65
2016-07-04,0.0
2016-07-05,35.0
2016-07-06,0.0
2016-07-07,0.0
2016-07-08,17.15
2016-07-09,19.599999999999998
2016-07-10,0.0
2016-07-11,17.15
2016-07-12,17.15
2016-07-13,17.5
2016-07-14,16.45
2016-07-15,0.0
2016-07-16,19.95
2016-07-17,0.0
2016-07-18,0.0
2016-07-19,16.799999999999997
2016-07-20,17.15
2016-07-21,0.0
2016-07-22,26.25
2016-07-23,19.599999999999998
2016-07-24,0.0
2016-07-25,0.0
2016-07-26,0.0
2016-07-27,0.0
2016-07-28,0.0
2016-07-29,0.0
2016-07-30,0.0
2016-07-31,0.0
2016-08-01,0.0
2016-08-02,24.48
2016-08-03,0.0
2016-08-04,0.0
2016-08-05,26.4
2016-08-06,30.24
2016-08-07,0.0
2016-08-08,0.0
2016-08-09,24.96
2016-08-10,0.0
2016-08-11,39.839999999999996
2016-08-12,26.4
