Date,Interactive Media
2014-01-23,18.5
2014-01-24,74.0
2014-01-25,0.0
2014-01-26,22.2
2014-01-27,69.56
2014-01-28,71.78
2014-01-29,17.759999999999998
2014-01-30,54.76
2014-01-31,19.24
2014-02-01,32.86
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,39.75
2014-02-05,13.25
2014-02-06,0.0
2014-02-07,15.9
2014-02-08,15.9
2014-02-09,32.33
2014-02-10,25.970000000000002
2014-02-11,25.970000000000002
2014-02-12,13.25
2014-02-13,13.25
2014-02-14,13.780000000000001
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,41.34
2014-02-18,39.75
2014-02-19,53.0
2014-02-20,26.5
2014-02-21,13.780000000000001
2014-02-22,33.39
2014-02-23,16.43
2014-02-24,13.25
2014-02-25,25.970000000000002
2014-02-26,13.25
2014-02-27,0.0
2014-02-28,13.780000000000001
2014-03-01,0.0
2014-03-02,0.0
2014-03-03,32.9
2014-03-04,0.0
2014-03-05,16.799999999999997
2014-03-06,0.0
2014-03-07,18.2
2014-03-08,21.7
2014-03-09,42.699999999999996
2014-03-10,52.5
2014-03-11,17.5
2014-03-12,17.5
2014-03-13,17.5
2014-03-14,18.2
2014-03-15,21.7
2014-03-16,62.99999999999999
2014-03-17,67.89999999999999
2014-03-18,69.3
2014-03-19,34.3
2014-03-20,70.0
2014-03-21,36.4
2014-03-22,0.0
2014-03-23,0.0
2014-03-24,34.3
2014-03-25,16.799999999999997
2014-03-26,51.8
2014-03-27,0.0
2014-03-28,35.699999999999996
2014-03-29,0.0
2014-03-30,42.0
2014-03-31,17.5
2014-04-01,12.0
2014-04-02,35.4
2014-04-03,36.0
2014-04-04,36.6
2014-04-05,15.0
2014-04-06,29.4
2014-04-07,22.8
2014-04-08,11.4
2014-04-09,12.0
2014-04-10,36.6
2014-04-11,0.0
2014-04-12,0.0
2014-04-13,15.0
2014-04-14,34.8
2014-04-15,45.0
2014-04-16,60.0
2014-04-17,24.599999999999998
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,25.2
2014-04-22,35.4
2014-04-23,12.0
2014-04-24,0.0
2014-04-25,37.8
2014-04-26,15.6
2014-04-27,0.0
2014-04-28,34.8
2014-04-29,22.8
2014-04-30,0.0
2014-05-01,14.8
2014-05-02,16.28
2014-05-03,39.22
2014-05-04,0.0
2014-05-05,30.34
2014-05-06,30.34
2014-05-07,30.34
2014-05-08,31.08
2014-05-09,47.36
2014-05-10,38.48
2014-05-11,0.0
2014-05-12,15.54
2014-05-13,30.34
2014-05-14,31.08
2014-05-15,0.0
2014-05-16,15.54
2014-05-17,0.0
2014-05-18,19.98
2014-05-19,15.54
2014-05-20,0.0
2014-05-21,17.02
2014-05-22,34.78
2014-05-23,74.0
2014-05-24,0.0
2014-05-25,24.419999999999998
2014-05-26,22.2
2014-05-27,34.04
2014-05-28,34.04
2014-05-29,34.78
2014-05-30,18.5
2014-05-31,22.2
2014-06-01,12.219999999999999
2014-06-02,18.799999999999997
2014-06-03,0.0
2014-06-04,27.729999999999997
2014-06-05,47.0
2014-06-06,0.0
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,0.0
2014-06-10,9.399999999999999
2014-06-11,37.599999999999994
2014-06-12,0.0
2014-06-13,9.87
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,19.27
2014-06-19,28.669999999999998
2014-06-20,19.74
2014-06-21,36.19
2014-06-22,0.0
2014-06-23,9.399999999999999
2014-06-24,9.399999999999999
2014-06-25,18.799999999999997
2014-06-26,0.0
2014-06-27,9.87
2014-06-28,24.439999999999998
2014-06-29,24.439999999999998
2014-06-30,0.0
2014-07-01,12.2
2014-07-02,12.81
2014-07-03,39.65
2014-07-04,0.0
2014-07-05,0.0
2014-07-06,0.0
2014-07-07,50.629999999999995
2014-07-08,61.0
2014-07-09,37.82
2014-07-10,12.81
2014-07-11,12.81
2014-07-12,31.11
2014-07-13,0.0
2014-07-14,12.2
2014-07-15,23.79
2014-07-16,12.81
2014-07-17,25.009999999999998
2014-07-18,26.23
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,12.2
2014-07-22,36.6
2014-07-23,12.81
2014-07-24,0.0
2014-07-25,25.62
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,12.2
2014-07-29,12.2
2014-07-30,50.019999999999996
2014-07-31,37.21
2014-08-01,0.0
2014-08-02,12.389999999999999
2014-08-03,0.0
2014-08-04,0.0
2014-08-05,19.47
2014-08-06,59.0
2014-08-07,14.75
2014-08-08,10.62
2014-08-09,12.389999999999999
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,18.88
2014-08-13,10.03
2014-08-14,10.03
2014-08-15,0.0
2014-08-16,24.779999999999998
2014-08-17,12.389999999999999
2014-08-18,10.03
2014-08-19,28.91
2014-08-20,19.47
2014-08-21,19.47
2014-08-22,0.0
2014-08-23,35.989999999999995
2014-08-24,0.0
2014-08-25,9.44
2014-08-26,28.91
2014-08-27,19.47
2014-08-28,19.47
2014-08-29,0.0
2014-08-30,11.799999999999999
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,10.4
2014-09-03,31.85
2014-09-04,21.45
2014-09-05,11.05
