Date,Analyst Ratings
2014-09-22,26.22
2014-09-23,26.22
2014-09-24,0.0
2014-09-25,0.0
2014-09-26,28.29
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,0.0
2014-09-30,26.22
2014-10-01,0.0
2014-10-02,28.32
2014-10-03,28.91
2014-10-04,36.58
2014-10-05,35.989999999999995
2014-10-06,0.0
2014-10-07,0.0
2014-10-08,0.0
2014-10-09,56.64
2014-10-10,29.5
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,0.0
2014-10-14,0.0
2014-10-15,0.0
2014-10-16,27.729999999999997
2014-10-17,0.0
2014-10-18,36.58
2014-10-19,0.0
2014-10-20,0.0
2014-10-21,54.87
2014-10-22,27.139999999999997
2014-10-23,0.0
2014-10-24,59.0
2014-10-25,35.989999999999995
2014-10-26,0.0
2014-10-27,0.0
2014-10-28,0.0
2014-10-29,27.139999999999997
2014-10-30,0.0
2014-10-31,0.0
2014-11-01,0.0
2014-11-02,35.4
2014-11-03,0.0
2014-11-04,0.0
2014-11-05,0.0
2014-11-06,27.599999999999998
2014-11-07,0.0
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,0.0
2014-11-11,27.599999999999998
2014-11-12,0.0
2014-11-13,27.0
2014-11-14,0.0
2014-11-15,34.199999999999996
2014-11-16,0.0
2014-11-17,27.0
2014-11-18,29.4
2014-11-19,57.0
2014-11-20,27.599999999999998
2014-11-21,57.0
2014-11-22,34.199999999999996
2014-11-23,34.199999999999996
2014-11-24,0.0
2014-11-25,27.599999999999998
2014-11-26,60.0
2014-11-27,0.0
2014-11-28,33.6
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,17.02
2014-12-02,0.0
2014-12-03,0.0
2014-12-04,17.39
2014-12-05,0.0
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,0.0
2014-12-09,0.0
2014-12-10,0.0
2014-12-11,18.13
2014-12-12,37.0
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,0.0
2014-12-16,18.13
2014-12-17,18.5
2014-12-18,0.0
2014-12-19,0.0
2014-12-20,0.0
2014-12-21,24.419999999999998
2014-12-22,20.35
2014-12-23,20.35
2014-12-24,0.0
2014-12-25,0.0
2014-12-26,23.31
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,19.98
2014-12-30,19.98
2014-12-31,20.72
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,24.189999999999998
2015-01-04,0.0
2015-01-05,40.12
2015-01-06,20.06
2015-01-07,38.94
2015-01-08,0.0
2015-01-09,40.71
2015-01-10,24.189999999999998
2015-01-11,24.189999999999998
2015-01-12,19.47
2015-01-13,19.47
2015-01-14,0.0
2015-01-15,19.47
2015-01-16,20.06
2015-01-17,24.779999999999998
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,0.0
2015-01-21,38.35
2015-01-22,19.47
2015-01-23,19.47
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,38.35
2015-01-27,18.88
2015-01-28,0.0
2015-01-29,38.94
2015-01-30,59.0
2015-01-31,23.599999999999998
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,32.5
2015-02-04,48.1
2015-02-05,0.0
2015-02-06,33.800000000000004
2015-02-07,0.0
2015-02-08,0.0
2015-02-09,0.0
2015-02-10,31.85
2015-02-11,31.85
2015-02-12,0.0
2015-02-13,33.800000000000004
2015-02-14,0.0
2015-02-15,0.0
2015-02-16,34.45
2015-02-17,0.0
2015-02-18,32.5
2015-02-19,65.0
2015-02-20,33.800000000000004
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,0.0
2015-02-24,0.0
2015-02-25,0.0
2015-02-26,64.35000000000001
2015-02-27,0.0
2015-02-28,40.300000000000004
2015-03-01,0.0
2015-03-02,21.6
2015-03-03,20.7
2015-03-04,21.150000000000002
2015-03-05,21.150000000000002
2015-03-06,45.0
2015-03-07,40.95
2015-03-08,0.0
2015-03-09,43.65
2015-03-10,21.6
2015-03-11,43.65
2015-03-12,33.300000000000004
2015-03-13,0.0
2015-03-14,0.0
2015-03-15,27.900000000000002
2015-03-16,0.0
2015-03-17,22.05
2015-03-18,0.0
2015-03-19,22.05
2015-03-20,22.5
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,0.0
2015-03-24,22.05
2015-03-25,36.45
2015-03-26,0.0
2015-03-27,0.0
2015-03-28,30.6
2015-03-29,0.0
2015-03-30,44.550000000000004
2015-03-31,22.05
2015-04-01,28.35
2015-04-02,29.61
2015-04-03,63.0
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,29.61
2015-04-07,0.0
2015-04-08,28.35
2015-04-09,28.35
2015-04-10,0.0
2015-04-11,36.54
2015-04-12,0.0
2015-04-13,0.0
2015-04-14,27.72
2015-04-15,41.58
2015-04-16,28.35
2015-04-17,0.0
2015-04-18,0.0
2015-04-19,36.54
2015-04-20,0.0
2015-04-21,56.07
2015-04-22,28.35
2015-04-23,56.07
2015-04-24,59.85
2015-04-25,0.0
2015-04-26,0.0
2015-04-27,0.0
2015-04-28,27.72
2015-04-29,56.7
2015-04-30,28.35
2015-05-01,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,17.16
2015-05-07,25.48
2015-05-08,18.2
2015-05-09,22.880000000000003
2015-05-10,0.0
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,25.48
2015-05-14,17.68
2015-05-15,0.0
2015-05-16,22.36
2015-05-17,0.0
2015-05-18,17.16
2015-05-19,52.0
2015-05-20,0.0
2015-05-21,18.2
2015-05-22,37.96
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,17.16
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-05-30,0.0
2015-05-31,22.880000000000003
2015-06-01,0.0
2015-06-02,24.44
2015-06-03,50.440000000000005
2015-06-04,25.48
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,25.48
2015-06-09,24.96
2015-06-10,25.48
2015-06-11,52.0
2015-06-12,26.52
2015-06-13,0.0
2015-06-14,33.28
2015-06-15,0.0
2015-06-16,0.0
2015-06-17,49.92
2015-06-18,0.0
2015-06-19,40.04
2015-06-20,32.24
2015-06-21,0.0
2015-06-22,25.48
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,0.0
2015-06-26,26.52
2015-06-27,32.24
2015-06-28,0.0
2015-06-29,51.480000000000004
2015-06-30,50.440000000000005
2015-07-01,0.0
2015-07-02,30.5
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,29.28
2015-07-07,0.0
2015-07-08,29.28
2015-07-09,29.28
2015-07-10,30.5
2015-07-11,37.21
2015-07-12,0.0
2015-07-13,28.669999999999998
2015-07-14,0.0
2015-07-15,29.28
2015-07-16,0.0
2015-07-17,31.11
2015-07-18,0.0
2015-07-19,0.0
2015-07-20,30.5
2015-07-21,0.0
