Date,Bar Chart
2014-08-03,9.6
2014-08-04,53.120000000000005
2014-08-05,22.400000000000002
2014-08-06,30.080000000000002
2014-08-07,23.04
2014-08-08,32.64
2014-08-09,24.32
2014-08-10,14.72
2014-08-11,64.0
2014-08-12,24.96
2014-08-13,33.92
2014-08-14,26.88
2014-08-15,55.68
2014-08-16,9.6
2014-08-17,19.2
2014-08-18,49.28
2014-08-19,33.92
2014-08-20,22.400000000000002
2014-08-21,37.76
2014-08-22,23.68
2014-08-23,14.08
2014-08-24,18.56
2014-08-25,33.28
2014-08-26,40.96
2014-08-27,47.36
2014-08-28,48.0
2014-08-29,42.24
2014-08-30,23.04
2014-08-31,0.0
2014-09-01,36.12
2014-09-02,45.58
2014-09-03,70.52
2014-09-04,61.06
2014-09-05,57.62
2014-09-06,18.919999999999998
2014-09-07,30.96
2014-09-08,80.84
2014-09-09,54.18
2014-09-10,60.199999999999996
2014-09-11,79.98
2014-09-12,56.76
2014-09-13,18.919999999999998
2014-09-14,44.72
2014-09-15,70.52
2014-09-16,65.36
2014-09-17,75.67999999999999
2014-09-18,80.84
2014-09-19,79.12
2014-09-20,32.68
2014-09-21,69.66
2014-09-22,65.36
2014-09-23,60.199999999999996
2014-09-24,80.84
2014-09-25,30.96
2014-09-26,86.0
2014-09-27,19.78
2014-09-28,51.6
2014-09-29,49.88
2014-09-30,75.67999999999999
2014-10-01,69.60000000000001
2014-10-02,52.800000000000004
2014-10-03,36.800000000000004
2014-10-04,17.6
2014-10-05,34.4
2014-10-06,44.0
2014-10-07,52.0
2014-10-08,56.800000000000004
2014-10-09,80.0
2014-10-10,69.60000000000001
2014-10-11,28.8
2014-10-12,22.400000000000002
2014-10-13,44.800000000000004
2014-10-14,43.2
2014-10-15,64.8
2014-10-16,35.2
2014-10-17,46.400000000000006
2014-10-18,16.8
2014-10-19,22.400000000000002
2014-10-20,61.6
2014-10-21,43.2
2014-10-22,48.0
2014-10-23,48.0
2014-10-24,46.400000000000006
2014-10-25,11.200000000000001
2014-10-26,39.2
2014-10-27,52.800000000000004
2014-10-28,60.0
2014-10-29,34.4
2014-10-30,48.0
2014-10-31,28.8
2014-11-01,22.44
2014-11-02,32.34
2014-11-03,66.0
2014-11-04,48.18
2014-11-05,36.300000000000004
2014-11-06,29.040000000000003
2014-11-07,46.2
2014-11-08,19.14
2014-11-09,27.060000000000002
2014-11-10,48.84
2014-11-11,52.800000000000004
2014-11-12,46.2
2014-11-13,62.040000000000006
2014-11-14,51.480000000000004
2014-11-15,23.76
2014-11-16,28.380000000000003
2014-11-17,55.440000000000005
2014-11-18,58.74
2014-11-19,60.720000000000006
2014-11-20,48.18
2014-11-21,40.92
2014-11-22,15.84
2014-11-23,15.84
2014-11-24,34.980000000000004
2014-11-25,42.24
2014-11-26,29.700000000000003
2014-11-27,16.5
2014-11-28,15.180000000000001
2014-11-29,13.200000000000001
2014-11-30,17.82
2014-12-01,41.580000000000005
2014-12-02,25.92
2014-12-03,46.440000000000005
2014-12-04,54.0
2014-12-05,37.260000000000005
2014-12-06,15.66
2014-12-07,17.82
2014-12-08,32.400000000000006
2014-12-09,46.440000000000005
2014-12-10,39.96
2014-12-11,31.860000000000003
2014-12-12,28.62
2014-12-13,18.900000000000002
2014-12-14,11.88
2014-12-15,35.64
2014-12-16,50.760000000000005
2014-12-17,36.72
2014-12-18,37.800000000000004
2014-12-19,29.160000000000004
2014-12-20,12.420000000000002
2014-12-21,15.120000000000001
2014-12-22,25.380000000000003
2014-12-23,10.8
2014-12-24,23.76
2014-12-25,16.740000000000002
2014-12-26,21.6
2014-12-27,4.86
2014-12-28,19.44
2014-12-29,20.520000000000003
2014-12-30,18.36
2014-12-31,15.120000000000001
2015-01-01,6.3
2015-01-02,15.399999999999999
2015-01-03,8.399999999999999
2015-01-04,22.4
2015-01-05,39.199999999999996
2015-01-06,37.099999999999994
2015-01-07,45.5
2015-01-08,52.5
2015-01-09,35.0
2015-01-10,14.0
2015-01-11,16.799999999999997
2015-01-12,65.1
