Date,Broadcasting
2015-01-20,62.0
2015-01-21,57.0
2015-01-22,66.0
2015-01-23,46.0
2015-01-24,49.0
2015-01-25,51.0
2015-01-26,63.0
2015-01-27,63.0
2015-01-28,55.0
2015-01-29,56.0
2015-01-30,48.0
2015-01-31,49.0
2015-02-01,95.0
2015-02-02,64.6
2015-02-03,80.75
2015-02-04,83.6
2015-02-05,54.15
2015-02-06,51.3
2015-02-07,49.4
2015-02-08,56.05
2015-02-09,71.25
2015-02-10,45.599999999999994
2015-02-11,64.6
2015-02-12,45.599999999999994
2015-02-13,56.05
2015-02-14,34.199999999999996
2015-02-15,61.75
2015-02-16,59.849999999999994
2015-02-17,51.3
2015-02-18,60.8
2015-02-19,62.699999999999996
2015-02-20,53.199999999999996
2015-02-21,50.349999999999994
2015-02-22,38.949999999999996
2015-02-23,45.599999999999994
2015-02-24,67.45
2015-02-25,65.55
2015-02-26,54.15
2015-02-27,49.4
2015-02-28,39.9
2015-03-01,61.419999999999995
2015-03-02,66.39999999999999
2015-03-03,54.779999999999994
2015-03-04,49.8
2015-03-05,73.86999999999999
2015-03-06,70.55
2015-03-07,50.629999999999995
2015-03-08,37.35
2015-03-09,42.33
2015-03-10,69.72
2015-03-11,66.39999999999999
2015-03-12,83.0
2015-03-13,58.099999999999994
2015-03-14,61.419999999999995
2015-03-15,58.93
2015-03-16,63.91
2015-03-17,51.46
2015-03-18,70.55
2015-03-19,78.85
2015-03-20,59.76
2015-03-21,37.35
2015-03-22,34.86
2015-03-23,61.419999999999995
2015-03-24,62.25
2015-03-25,55.61
2015-03-26,60.589999999999996
2015-03-27,51.46
2015-03-28,53.949999999999996
2015-03-29,45.65
2015-03-30,62.25
2015-03-31,60.589999999999996
2015-04-01,59.29
2015-04-02,53.9
2015-04-03,41.58
2015-04-04,69.3
2015-04-05,57.75
2015-04-06,64.68
2015-04-07,66.22
2015-04-08,68.53
2015-04-09,47.74
2015-04-10,56.980000000000004
2015-04-11,48.51
2015-04-12,39.27
2015-04-13,35.42
2015-04-14,66.99
2015-04-15,52.36
2015-04-16,62.370000000000005
2015-04-17,51.59
2015-04-18,23.1
2015-04-19,53.13
2015-04-20,77.0
2015-04-21,58.52
2015-04-22,56.980000000000004
2015-04-23,51.59
2015-04-24,25.41
2015-04-25,50.050000000000004
2015-04-26,41.58
2015-04-27,43.89
2015-04-28,47.74
2015-04-29,72.38
2015-04-30,46.2
2015-05-01,39.76
2015-05-02,41.89
2015-05-03,71.0
2015-05-04,53.25
2015-05-05,62.48
2015-05-06,49.699999999999996
2015-05-07,56.8
2015-05-08,52.54
2015-05-09,39.05
2015-05-10,27.689999999999998
2015-05-11,42.599999999999994
2015-05-12,53.959999999999994
2015-05-13,39.05
2015-05-14,31.24
2015-05-15,32.66
2015-05-16,38.339999999999996
2015-05-17,36.21
2015-05-18,41.89
2015-05-19,39.76
2015-05-20,53.959999999999994
2015-05-21,33.37
2015-05-22,40.47
2015-05-23,42.599999999999994
2015-05-24,48.28
2015-05-25,24.849999999999998
2015-05-26,51.12
2015-05-27,63.19
2015-05-28,29.82
2015-05-29,29.11
2015-05-30,24.14
2015-05-31,21.299999999999997
2015-06-01,58.4
2015-06-02,53.29
2015-06-03,37.23
2015-06-04,48.18
2015-06-05,46.72
2015-06-06,54.75
2015-06-07,38.69
2015-06-08,38.69
2015-06-09,48.91
2015-06-10,59.129999999999995
2015-06-11,50.37
2015-06-12,40.15
2015-06-13,48.18
2015-06-14,40.879999999999995
2015-06-15,32.85
2015-06-16,47.449999999999996
2015-06-17,45.99
2015-06-18,73.0
2015-06-19,48.91
2015-06-20,29.93
2015-06-21,56.21
2015-06-22,51.83
2015-06-23,53.29
2015-06-24,40.879999999999995
2015-06-25,38.69
2015-06-26,40.15
2015-06-27,49.64
2015-06-28,44.53
2015-06-29,45.99
2015-06-30,54.75
2015-07-01,54.0
2015-07-02,66.75
2015-07-03,54.75
2015-07-04,39.0
2015-07-05,63.0
2015-07-06,61.5
2015-07-07,63.75
2015-07-08,52.5
2015-07-09,75.0
2015-07-10,51.0
2015-07-11,33.75
2015-07-12,64.5
2015-07-13,54.75
2015-07-14,59.25
2015-07-15,58.5
2015-07-16,61.5
2015-07-17,40.5
2015-07-18,38.25
2015-07-19,34.5
2015-07-20,61.5
2015-07-21,46.5
2015-07-22,51.75
2015-07-23,45.75
2015-07-24,43.5
2015-07-25,30.75
2015-07-26,46.5
2015-07-27,61.5
2015-07-28,60.0
2015-07-29,54.75
2015-07-30,56.25
2015-07-31,51.75
2015-08-01,43.89
2015-08-02,46.97
2015-08-03,62.370000000000005
2015-08-04,50.82
2015-08-05,66.99
2015-08-06,72.38
2015-08-07,60.06
2015-08-08,46.97
2015-08-09,47.74
2015-08-10,58.52
2015-08-11,77.0
2015-08-12,60.83
2015-08-13,54.67
2015-08-14,58.52
2015-08-15,66.99
2015-08-16,76.23
2015-08-17,47.74
2015-08-18,55.44
2015-08-19,54.67
2015-08-20,62.370000000000005
2015-08-21,53.9
2015-08-22,39.27
2015-08-23,40.04
2015-08-24,60.83
2015-08-25,47.74
2015-08-26,68.53
2015-08-27,63.910000000000004
2015-08-28,42.35
2015-08-29,66.99
2015-08-30,68.53
2015-08-31,67.76
2015-09-01,47.559999999999995
2015-09-02,60.68
2015-09-03,67.24
2015-09-04,54.12
2015-09-05,42.64
2015-09-06,47.559999999999995
2015-09-07,41.0
2015-09-08,45.099999999999994
2015-09-09,51.66
2015-09-10,55.76
2015-09-11,48.379999999999995
2015-09-12,50.839999999999996
2015-09-13,82.0
2015-09-14,57.4
2015-09-15,53.3
2015-09-16,68.06
2015-09-17,44.279999999999994
2015-09-18,67.24
2015-09-19,73.8
2015-09-20,46.739999999999995
2015-09-21,52.48
2015-09-22,53.3
2015-09-23,41.0
2015-09-24,51.66
2015-09-25,42.64
2015-09-26,47.559999999999995
2015-09-27,64.78
2015-09-28,51.66
2015-09-29,36.08
2015-09-30,45.099999999999994
2015-10-01,48.879999999999995
2015-10-02,48.879999999999995
2015-10-03,69.56
2015-10-04,91.17999999999999
2015-10-05,67.67999999999999
2015-10-06,57.339999999999996
2015-10-07,83.66
2015-10-08,78.02
2015-10-09,72.38
2015-10-10,76.14
2015-10-11,45.12
2015-10-12,62.04
2015-10-13,71.44
2015-10-14,70.5
2015-10-15,73.32
2015-10-16,73.32
2015-10-17,77.08
2015-10-18,67.67999999999999
2015-10-19,47.94
2015-10-20,94.0
2015-10-21,84.6
2015-10-22,72.38
2015-10-23,60.16
2015-10-24,53.58
2015-10-25,65.8
2015-10-26,47.94
2015-10-27,75.19999999999999
2015-10-28,82.72
2015-10-29,76.14
2015-10-30,42.3
2015-10-31,68.61999999999999
2015-11-01,65.86
2015-11-02,72.09
2015-11-03,55.18
2015-11-04,78.32000000000001
2015-11-05,66.75
2015-11-06,48.95
2015-11-07,48.95
2015-11-08,53.4
2015-11-09,53.4
2015-11-10,75.65
2015-11-11,87.22
2015-11-12,62.300000000000004
2015-11-13,72.98
2015-11-14,64.97
2015-11-15,59.63
2015-11-16,72.98
2015-11-17,89.0
2015-11-18,56.07
2015-11-19,56.07
2015-11-20,67.64
2015-11-21,59.63
2015-11-22,50.730000000000004
2015-11-23,47.17
2015-11-24,58.74
2015-11-25,48.06
2015-11-26,48.06
2015-11-27,52.51
2015-11-28,43.61
2015-11-29,56.07
2015-11-30,58.74
2015-12-01,37.41
2015-12-02,62.64
2015-12-03,54.81
2015-12-04,67.86
2015-12-05,58.29
2015-12-06,70.47
2015-12-07,87.0
2015-12-08,73.95
2015-12-09,70.47
2015-12-10,38.28
2015-12-11,80.91
2015-12-12,69.6
2015-12-13,58.29
2015-12-14,57.42
2015-12-15,70.47
2015-12-16,52.2
2015-12-17,53.94
2015-12-18,28.71
2015-12-19,37.41
2015-12-20,55.68
2015-12-21,54.81
2015-12-22,40.02
2015-12-23,64.38
2015-12-24,45.24
2015-12-25,54.81
2015-12-26,40.89
2015-12-27,52.2
2015-12-28,59.16
2015-12-29,58.29
2015-12-30,66.99
2015-12-31,80.91
2016-01-01,65.12
2016-01-02,44.0
2016-01-03,62.48
2016-01-04,66.88
2016-01-05,88.0
2016-01-06,58.96
2016-01-07,69.52
2016-01-08,46.64
2016-01-09,49.28
2016-01-10,54.56
2016-01-11,55.44
2016-01-12,74.8
2016-01-13,70.4
2016-01-14,51.04
2016-01-15,60.72
2016-01-16,62.48
2016-01-17,49.28
2016-01-18,57.2
2016-01-19,53.68
2016-01-20,73.04
2016-01-21,42.24
2016-01-22,51.04
2016-01-23,37.84
2016-01-24,83.6
2016-01-25,47.52
2016-01-26,76.56
2016-01-27,74.8
2016-01-28,79.2
2016-01-29,49.28
2016-01-30,52.8
2016-01-31,46.64
2016-02-01,64.80000000000001
2016-02-02,72.9
2016-02-03,69.66000000000001
2016-02-04,61.56
2016-02-05,56.7
2016-02-06,40.5
2016-02-07,81.0
2016-02-08,72.09
2016-02-09,59.940000000000005
2016-02-10,69.66000000000001
2016-02-11,41.31
2016-02-12,55.080000000000005
2016-02-13,54.27
2016-02-14,34.830000000000005
2016-02-15,63.18000000000001
2016-02-16,49.410000000000004
2016-02-17,75.33
2016-02-18,59.13
2016-02-19,57.510000000000005
2016-02-20,34.02
2016-02-21,42.93
2016-02-22,44.550000000000004
2016-02-23,55.89
2016-02-24,68.04
2016-02-25,74.52000000000001
2016-02-26,51.03
2016-02-27,62.370000000000005
