Date,Cable
2014-09-15,80.08
2014-09-16,79.2
2014-09-17,75.68
2014-09-18,74.8
2014-09-19,73.04
2014-09-20,79.2
2014-09-21,80.08
2014-09-22,81.84
2014-09-23,79.2
2014-09-24,73.04
2014-09-25,79.2
2014-09-26,72.16
2014-09-27,80.08
2014-09-28,73.92
2014-09-29,82.72
2014-09-30,80.96
2014-10-01,85.0
2014-10-02,79.05
2014-10-03,80.75
2014-10-04,82.45
2014-10-05,79.05
2014-10-06,80.75
2014-10-07,84.14999999999999
2014-10-08,79.89999999999999
2014-10-09,80.75
2014-10-10,81.6
2014-10-11,84.14999999999999
2014-10-12,83.3
2014-10-13,80.75
2014-10-14,73.95
2014-10-15,78.2
2014-10-16,75.64999999999999
2014-10-17,83.3
2014-10-18,77.35
2014-10-19,76.5
2014-10-20,82.45
2014-10-21,72.25
2014-10-22,78.2
2014-10-23,72.25
2014-10-24,78.2
2014-10-25,78.2
2014-10-26,73.95
2014-10-27,79.05
2014-10-28,76.5
2014-10-29,74.8
2014-10-30,75.64999999999999
2014-10-31,71.39999999999999
2014-11-01,68.0
2014-11-02,65.60000000000001
2014-11-03,66.4
2014-11-04,64.0
2014-11-05,56.0
2014-11-06,64.0
2014-11-07,65.60000000000001
2014-11-08,69.60000000000001
2014-11-09,60.0
2014-11-10,66.4
2014-11-11,64.8
2014-11-12,60.800000000000004
2014-11-13,57.6
2014-11-14,66.4
2014-11-15,61.6
2014-11-16,64.0
2014-11-17,62.400000000000006
2014-11-18,63.2
2014-11-19,61.6
2014-11-20,56.800000000000004
2014-11-21,58.400000000000006
2014-11-22,72.8
2014-11-23,64.0
2014-11-24,63.2
2014-11-25,60.800000000000004
2014-11-26,60.0
2014-11-27,56.800000000000004
2014-11-28,73.60000000000001
2014-11-29,80.0
2014-11-30,70.4
2014-12-01,75.69
2014-12-02,69.6
2014-12-03,77.42999999999999
2014-12-04,67.86
2014-12-05,70.47
2014-12-06,73.95
2014-12-07,69.6
2014-12-08,71.34
2014-12-09,71.34
2014-12-10,68.73
2014-12-11,60.9
2014-12-12,67.86
2014-12-13,65.25
2014-12-14,66.99
2014-12-15,66.12
2014-12-16,64.38
2014-12-17,65.25
2014-12-18,66.99
2014-12-19,66.99
2014-12-20,66.12
2014-12-21,68.73
2014-12-22,71.34
2014-12-23,66.99
2014-12-24,62.64
2014-12-25,69.6
2014-12-26,87.0
2014-12-27,81.78
2014-12-28,76.56
2014-12-29,82.65
2014-12-30,84.39
2014-12-31,74.82
2015-01-01,74.82
2015-01-02,86.13
2015-01-03,87.0
2015-01-04,73.95
2015-01-05,77.42999999999999
2015-01-06,76.56
2015-01-07,77.42999999999999
2015-01-08,73.08
2015-01-09,70.47
2015-01-10,76.56
2015-01-11,73.08
2015-01-12,73.08
2015-01-13,73.08
2015-01-14,68.73
2015-01-15,71.34
2015-01-16,66.99
2015-01-17,70.47
2015-01-18,75.69
2015-01-19,73.08
2015-01-20,71.34
2015-01-21,71.34
2015-01-22,65.25
2015-01-23,61.77
2015-01-24,72.21
2015-01-25,71.34
2015-01-26,67.86
2015-01-27,65.25
2015-01-28,64.38
2015-01-29,68.73
2015-01-30,72.21
2015-01-31,74.82
2015-02-01,80.0
2015-02-02,66.4
2015-02-03,70.4
2015-02-04,66.4
2015-02-05,64.8
2015-02-06,68.0
2015-02-07,71.2
2015-02-08,68.0
2015-02-09,69.60000000000001
2015-02-10,69.60000000000001
2015-02-11,68.8
2015-02-12,65.60000000000001
2015-02-13,63.2
2015-02-14,64.0
2015-02-15,68.8
2015-02-16,69.60000000000001
2015-02-17,68.8
2015-02-18,64.0
2015-02-19,68.0
2015-02-20,66.4
2015-02-21,71.2
2015-02-22,68.0
2015-02-23,67.2
2015-02-24,69.60000000000001
2015-02-25,69.60000000000001
2015-02-26,67.2
2015-02-27,65.60000000000001
2015-02-28,69.60000000000001
2015-03-01,73.92
2015-03-02,73.92
2015-03-03,70.07000000000001
2015-03-04,71.61
2015-03-05,71.61
2015-03-06,66.22
2015-03-07,71.61
2015-03-08,71.61
2015-03-09,73.92
2015-03-10,75.46000000000001
2015-03-11,67.76
2015-03-12,70.07000000000001
2015-03-13,74.69
2015-03-14,71.61
2015-03-15,68.53
2015-03-16,73.15
2015-03-17,67.76
2015-03-18,75.46000000000001
2015-03-19,75.46000000000001
2015-03-20,77.0
2015-03-21,73.15
2015-03-22,67.76
2015-03-23,72.38
2015-03-24,63.14
2015-03-25,66.22
2015-03-26,66.22
2015-03-27,70.07000000000001
2015-03-28,72.38
2015-03-29,70.84
2015-03-30,71.61
2015-03-31,74.69
2015-04-01,70.31
2015-04-02,73.47
2015-04-03,68.73
2015-04-04,77.42
2015-04-05,68.73
2015-04-06,76.63000000000001
2015-04-07,75.05
2015-04-08,72.68
2015-04-09,71.10000000000001
2015-04-10,71.10000000000001
2015-04-11,68.73
2015-04-12,67.94
2015-04-13,76.63000000000001
2015-04-14,67.94
2015-04-15,68.73
2015-04-16,67.94
2015-04-17,71.10000000000001
2015-04-18,76.63000000000001
2015-04-19,74.26
2015-04-20,73.47
2015-04-21,76.63000000000001
2015-04-22,71.10000000000001
2015-04-23,70.31
2015-04-24,77.42
2015-04-25,74.26
2015-04-26,70.31
2015-04-27,79.0
2015-04-28,75.05
2015-04-29,75.84
2015-04-30,75.05
2015-05-01,61.56
2015-05-02,76.95
2015-05-03,81.0
2015-05-04,55.080000000000005
2015-05-05,54.27
2015-05-06,56.7
2015-05-07,53.46
2015-05-08,54.27
2015-05-09,56.7
2015-05-10,49.410000000000004
2015-05-11,58.32000000000001
2015-05-12,57.510000000000005
2015-05-13,55.080000000000005
2015-05-14,57.510000000000005
2015-05-15,55.89
2015-05-16,59.13
2015-05-17,55.89
2015-05-18,57.510000000000005
2015-05-19,55.89
2015-05-20,59.13
2015-05-21,53.46
2015-05-22,59.13
2015-05-23,55.89
2015-05-24,51.03
2015-05-25,59.940000000000005
2015-05-26,69.66000000000001
2015-05-27,60.75000000000001
2015-05-28,55.89
2015-05-29,59.13
2015-05-30,60.75000000000001
2015-05-31,56.7
2015-06-01,81.78
2015-06-02,87.0
2015-06-03,78.3
2015-06-04,80.91
2015-06-05,78.3
2015-06-06,76.56
2015-06-07,74.82
2015-06-08,81.78
2015-06-09,81.78
2015-06-10,81.78
2015-06-11,80.04
2015-06-12,78.3
2015-06-13,71.34
2015-06-14,71.34
2015-06-15,84.39
2015-06-16,76.56
2015-06-17,78.3
2015-06-18,76.56
2015-06-19,74.82
2015-06-20,73.08
2015-06-21,73.95
2015-06-22,78.3
2015-06-23,80.04
2015-06-24,80.91
2015-06-25,86.13
2015-06-26,83.52
2015-06-27,82.65
2015-06-28,69.6
2015-06-29,87.0
2015-06-30,85.26
2015-07-01,84.48
2015-07-02,85.36
2015-07-03,78.32000000000001
2015-07-04,71.28
2015-07-05,77.44
2015-07-06,83.6
2015-07-07,84.48
2015-07-08,84.48
2015-07-09,81.84
2015-07-10,80.96
2015-07-11,78.32000000000001
2015-07-12,79.2
2015-07-13,84.48
2015-07-14,84.48
2015-07-15,88.0
2015-07-16,80.96
2015-07-17,83.6
2015-07-18,76.56
2015-07-19,73.92
2015-07-20,86.24
2015-07-21,85.36
2015-07-22,79.2
2015-07-23,83.6
2015-07-24,84.48
2015-07-25,77.44
2015-07-26,77.44
2015-07-27,87.12
2015-07-28,83.6
2015-07-29,85.36
2015-07-30,86.24
2015-07-31,87.12
2015-08-01,81.78
2015-08-02,75.19999999999999
2015-08-03,93.05999999999999
2015-08-04,87.42
2015-08-05,87.42
2015-08-06,94.0
2015-08-07,93.05999999999999
2015-08-08,78.02
2015-08-09,83.66
2015-08-10,92.11999999999999
2015-08-11,90.24
2015-08-12,86.47999999999999
2015-08-13,87.42
2015-08-14,87.42
2015-08-15,91.17999999999999
2015-08-16,83.66
2015-08-17,87.42
2015-08-18,87.42
2015-08-19,94.0
2015-08-20,82.72
2015-08-21,85.53999999999999
2015-08-22,83.66
2015-08-23,83.66
2015-08-24,89.3
2015-08-25,92.11999999999999
2015-08-26,81.78
2015-08-27,82.72
2015-08-28,85.53999999999999
2015-08-29,88.36
2015-08-30,78.96
2015-08-31,83.66
2015-09-01,79.17
2015-09-02,78.3
2015-09-03,83.52
2015-09-04,84.39
2015-09-05,87.0
2015-09-06,70.47
2015-09-07,73.08
2015-09-08,75.69
2015-09-09,70.47
2015-09-10,75.69
2015-09-11,74.82
2015-09-12,83.52
2015-09-13,84.39
2015-09-14,78.3
2015-09-15,76.56
2015-09-16,73.08
2015-09-17,73.95
2015-09-18,72.21
2015-09-19,79.17
2015-09-20,80.04
2015-09-21,77.42999999999999
2015-09-22,76.56
2015-09-23,73.95
2015-09-24,68.73
2015-09-25,67.86
2015-09-26,78.3
2015-09-27,71.34
2015-09-28,75.69
2015-09-29,71.34
2015-09-30,78.3
2015-10-01,68.88
2015-10-02,74.75999999999999
2015-10-03,84.0
2015-10-04,80.64
2015-10-05,70.56
2015-10-06,77.28
2015-10-07,76.44
2015-10-08,77.28
2015-10-09,75.6
2015-10-10,84.0
2015-10-11,76.44
2015-10-12,74.75999999999999
2015-10-13,73.92
2015-10-14,73.08
2015-10-15,69.72
2015-10-16,69.72
2015-10-17,71.39999999999999
2015-10-18,66.36
2015-10-19,70.56
2015-10-20,69.72
2015-10-21,64.67999999999999
2015-10-22,65.52
2015-10-23,68.88
2015-10-24,72.24
2015-10-25,67.2
2015-10-26,71.39999999999999
2015-10-27,68.03999999999999
2015-10-28,68.03999999999999
2015-10-29,68.88
2015-10-30,64.67999999999999
2015-10-31,71.39999999999999
2015-11-01,68.0
2015-11-02,66.4
2015-11-03,66.4
2015-11-04,65.60000000000001
2015-11-05,64.0
2015-11-06,66.4
2015-11-07,70.4
2015-11-08,65.60000000000001
2015-11-09,64.8
2015-11-10,68.8
2015-11-11,73.60000000000001
2015-11-12,62.400000000000006
2015-11-13,64.8
2015-11-14,67.2
2015-11-15,68.0
2015-11-16,58.400000000000006
2015-11-17,59.2
2015-11-18,60.800000000000004
2015-11-19,59.2
2015-11-20,61.6
2015-11-21,71.2
2015-11-22,68.0
2015-11-23,68.8
2015-11-24,64.0
2015-11-25,60.800000000000004
2015-11-26,57.6
2015-11-27,73.60000000000001
2015-11-28,80.0
2015-11-29,67.2
2015-11-30,75.2
2015-12-01,77.35
2015-12-02,68.85
2015-12-03,62.9
2015-12-04,62.9
2015-12-05,71.39999999999999
2015-12-06,63.75
2015-12-07,63.75
2015-12-08,60.35
2015-12-09,64.6
2015-12-10,62.05
2015-12-11,64.6
2015-12-12,62.05
2015-12-13,60.35
2015-12-14,60.35
2015-12-15,69.7
2015-12-16,62.05
2015-12-17,57.8
2015-12-18,63.75
2015-12-19,65.45
2015-12-20,65.45
2015-12-21,65.45
2015-12-22,68.0
2015-12-23,62.9
2015-12-24,59.5
2015-12-25,62.9
2015-12-26,77.35
2015-12-27,85.0
2015-12-28,81.6
2015-12-29,79.05
2015-12-30,80.75
2015-12-31,73.95
2016-01-01,73.8
2016-01-02,81.17999999999999
2016-01-03,82.0
2016-01-04,81.17999999999999
2016-01-05,80.36
2016-01-06,77.08
2016-01-07,78.72
2016-01-08,77.89999999999999
