,Open,High,Low,Close,Volume,VOX_unscaled,VOX_monthly,isPartial,scale,VOX,VOX stock_unscaled,VOX stock_monthly,isPartial,scale,VOX stock,VOX price_unscaled,VOX price_monthly,isPartial,scale,VOX price,VOX vanguard_unscaled,VOX vanguard_monthly,isPartial,scale,VOX vanguard,Dow Jones_unscaled,Dow Jones_monthly,isPartial,scale,Dow Jones,Trump_unscaled,Trump_monthly,isPartial,scale,Trump
6/17/14,86.26000214,86.80999756,86.22000122,86.62999725,32000,73,40,,0.4,29.2,0,16,,0.16,0,73,44,,0.44,32.12,0,58,,0.58,0,86,11,,0.11,9.46,64,1,,0.01,0.64
6/18/14,86.68000031,87.41999817,86.5,87.41000366,32200,98,40,,0.4,39.2,0,16,,0.16,0,74,44,,0.44,32.56,0,58,,0.58,0,77,11,,0.11,8.47,80,1,,0.01,0.8
6/19/14,87.51000214,87.66999817,87.09999847,87.34999847,44400,99,40,,0.4,39.6,0,16,,0.16,0,76,44,,0.44,33.44,0,58,,0.58,0,90,11,,0.11,9.9,73,1,,0.01,0.73
6/20/14,87.77999878,87.77999878,87.12000275,87.38999939,31900,100,40,,0.4,40,0,16,,0.16,0,0,44,,0.44,0,0,58,,0.58,0,91,11,,0.11,10.01,78,1,,0.01,0.78
6/23/14,87.52999878,87.55999756,87.23000336,87.55000305,22000,79,40,,0.4,31.6,76,16,,0.16,12.16,0,44,,0.44,0,0,58,,0.58,0,69,11,,0.11,7.59,52,1,,0.01,0.52
6/24/14,87.54000092,87.87999725,87,87.09999847,23800,96,40,,0.4,38.4,74,16,,0.16,11.84,0,44,,0.44,0,0,58,,0.58,0,96,11,,0.11,10.56,61,1,,0.01,0.61
6/25/14,86.98999786,87.40000153,86.97000122,87.40000153,23600,87,40,,0.4,34.8,0,16,,0.16,0,74,44,,0.44,32.56,100,58,,0.58,58,99,11,,0.11,10.89,66,1,,0.01,0.66
6/26/14,87.51999664,87.51999664,86.66999817,87.37000275,31700,88,40,,0.4,35.2,0,16,,0.16,0,0,44,,0.44,0,0,58,,0.58,0,88,11,,0.11,9.68,48,1,,0.01,0.48
6/27/14,87.33000183,87.73000336,87.16000366,87.73000336,22000,98,40,,0.4,39.2,0,16,,0.16,0,0,44,,0.44,0,0,58,,0.58,0,89,11,,0.11,9.79,81,1,,0.01,0.81
6/30/14,87.80000305,88,87.59999847,87.95999908,22800,84,40,,0.4,33.6,0,16,,0.16,0,0,44,,0.44,0,0,58,,0.58,0,79,11,,0.11,8.69,57,1,,0.01,0.57
